Protein IDs,Majority protein IDs,Peptide counts (all),Peptide counts (razor+unique),Peptide counts (unique),Protein names,Gene names,Fasta headers,Number of proteins,Peptides,Razor + unique peptides,Unique peptides,Peptides HD1,Peptides HD2,Peptides HD3,Peptides HD4,Peptides HE1,Peptides HE2,Peptides HE3,Peptides HE4,Razor + unique peptides HD1,Razor + unique peptides HD2,Razor + unique peptides HD3,Razor + unique peptides HD4,Razor + unique peptides HE1,Razor + unique peptides HE2,Razor + unique peptides HE3,Razor + unique peptides HE4,Unique peptides HD1,Unique peptides HD2,Unique peptides HD3,Unique peptides HD4,Unique peptides HE1,Unique peptides HE2,Unique peptides HE3,Unique peptides HE4,Sequence coverage [%],Unique + razor sequence coverage [%],Unique sequence coverage [%],Mol. weight [kDa],Sequence length,Sequence lengths,Fraction average,Fraction 1,Q-value,Score,Identification type HD1,Identification type HD2,Identification type HD3,Identification type HD4,Identification type HE1,Identification type HE2,Identification type HE3,Identification type HE4,Sequence coverage HD1 [%],Sequence coverage HD2 [%],Sequence coverage HD3 [%],Sequence coverage HD4 [%],Sequence coverage HE1 [%],Sequence coverage HE2 [%],Sequence coverage HE3 [%],Sequence coverage HE4 [%],Intensity,Intensity HD1,Intensity HD2,Intensity HD3,Intensity HD4,Intensity HE1,Intensity HE2,Intensity HE3,Intensity HE4,LFQ intensity HD1,LFQ intensity HD2,LFQ intensity HD3,LFQ intensity HD4,LFQ intensity HE1,LFQ intensity HE2,LFQ intensity HE3,LFQ intensity HE4,MS/MS count HD1,MS/MS count HD2,MS/MS count HD3,MS/MS count HD4,MS/MS count HE1,MS/MS count HE2,MS/MS count HE3,MS/MS count HE4,MS/MS count,Only identified by site,Reverse,Potential contaminant,id,Peptide IDs,Peptide is razor,Mod. peptide IDs,Evidence IDs,MS/MS IDs,Best MS/MS,Oxidation (M) site IDs,Oxidation (M) site positions,Taxonomy IDs
A0A0C4DH55;A0A075B6H7;P01624,A0A0C4DH55;A0A075B6H7;P01624,1;1;1,1;1;1,1;1;1,Ig kappa chain V-III region POM,IGKV3D-7;IGKV3-7,sp|A0A0C4DH55|KVD07_HUMAN Immunoglobulin kappa variable 3D-7 OS=Homo sapiens OX=9606 GN=IGKV3D-7 PE=3 SV=5;sp|A0A075B6H7|KV37_HUMAN Probable non-functional immunoglobulin kappa variable 3-7 OS=Homo sapiens OX=9606 GN=IGKV3-7 PE=1 SV=1;sp|P01624|KV315_HUMAN,3,1,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,7.6,7.6,7.6,13.148,119,119;116;115,1,2,0.008879,1.5909,,,By MS/MS,,,,By MS/MS,,0,0,7.6,0,0,0,7.6,0,6088900,0,0,2642500,0,0,0,3446400,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2,,,,0,6807,TRUE,7050,37382;37383,26241;26242,26241,,,9606;9606;9606
A0A075B6K5;P80748,A0A075B6K5;P80748,2;1,2;1,2;1,Ig lambda chain V-III region LOI,IGLV3-9,sp|A0A075B6K5|LV39_HUMAN Immunoglobulin lambda variable 3-9 OS=Homo sapiens OX=9606 GN=IGLV3-9 PE=3 SV=1;sp|P80748|LV321_HUMAN Immunoglobulin lambda variable 3-21 OS=Homo sapiens OX=9606 GN=IGLV3-21 PE=1 SV=2,2,2,2,2,0,0,1,0,0,0,2,0,0,0,1,0,0,0,2,0,0,0,1,0,0,0,2,0,30.4,30.4,30.4,12.332,115,115;117,1,3,0,60.623,,,By MS/MS,,,,By MS/MS,,0,0,13.9,0,0,0,30.4,0,3465400,0,0,616680,0,0,0,2848700,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,4,,,,1,2896;8289,True;True,3001;8648,15292;15293;45942,10606;10607;32358;32359,10607;32359,,,9606;9606
P01614;A2NJV5;A0A0A0MRZ7;A0A075B6S6;A0A075B6S2;A0A075B6P5;A0A087WW87;P06310;P01615,P01614;A2NJV5;A0A0A0MRZ7;A0A075B6S6;A0A075B6S2;A0A075B6P5;A0A087WW87;P06310;P01615,1;1;1;1;1;1;1;1;1,1;1;1;1;1;1;1;1;1,1;1;1;1;1;1;1;1;1,Ig kappa chain V-II region Cum;Ig kappa chain V-II region RPMI 6410;Ig kappa chain V-II region FR,IGKV A18;IGKV2D-26;IGKV2D-30;IGKV2D-29;IGKV2D-28;IGKV2-40,sp|P01614|KVD40_HUMAN Immunoglobulin kappa variable 2D-40 OS=Homo sapiens OX=9606 GN=IGKV2D-40 PE=1 SV=2;sp|A2NJV5|KV229_HUMAN Immunoglobulin kappa variable 2-29 OS=Homo sapiens OX=9606 GN=IGKV2-29 PE=3 SV=2;sp|A0A0A0MRZ7|KVD26_HUMAN Immunoglobulin kappa v,9,1,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,10.7,10.7,10.7,13.31,121,121;120;120;120;120;120;121;120;120,1,2,0,40.107,,,By matching,,,,By MS/MS,,0,0,10.7,0,0,0,10.7,0,12444000,0,0,157740,0,0,0,12286000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,,,,2,2895,TRUE,3000,15290;15291,10605,10605,,,9606;9606;9606;9606;9606;9606;9606;9606;9606
A0A0A0MRZ8;P04433,A0A0A0MRZ8;P04433,1;1,1;1,1;1,Ig kappa chain V-III region VG,IGKV3D-11,sp|A0A0A0MRZ8|KVD11_HUMAN Immunoglobulin kappa variable 3D-11 OS=Homo sapiens OX=9606 GN=IGKV3D-11 PE=3 SV=6;sp|P04433|KV311_HUMAN Immunoglobulin kappa variable 3-11 OS=Homo sapiens OX=9606 GN=IGKV3-11 PE=1 SV=1,2,1,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,18.3,18.3,18.3,12.625,115,115;115,1,4,0,61.259,,By MS/MS,,,,By MS/MS,,,0,18.3,0,0,0,18.3,0,0,4242400,0,0,0,0,0,4242400,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,5,,,,3,812,TRUE,845,4253;4254;4255;4256,2973;2974;2975;2976;2977,2974,,,9606;9606
A0A0C4DH42;P0DP03;P0DP02;A0A0B4J1X5;P01767;P01772;P01768;P01764,A0A0C4DH42;P0DP03;P0DP02;A0A0B4J1X5;P01767;P01772;P01768;P01764,1;1;1;1;1;1;1;1,1;1;1;1;1;1;1;1,1;1;1;1;1;1;1;1,Ig heavy chain V-III region BUT;Ig heavy chain V-III region KOL;Ig heavy chain V-III region CAM;Ig heavy chain V-III region 23,IGHV3-66;IGHV3-74;IGHV3-23,sp|A0A0C4DH42|HV366_HUMAN Immunoglobulin heavy variable 3-66 OS=Homo sapiens OX=9606 GN=IGHV3-66 PE=3 SV=1;sp|P0DP03|HVC05_HUMAN Immunoglobulin heavy variable 3-30-5 OS=Homo sapiens OX=9606 GN=IGHV3-30-5 PE=3 SV=1;sp|P0DP02|HVC33_HUMAN Immunoglobulin heavy,8,1,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,9.5,9.5,9.5,12.698,116,116;117;117;117;116;117;117;117,1,2,0,39.132,,,By MS/MS,,,,By MS/MS,,0,0,9.5,0,0,0,9.5,0,4273300,0,0,2777300,0,0,0,1496100,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2,,,,4,8268,TRUE,8627,45832;45833,32275;32276,32276,,,9606;9606;9606;9606;9606;9606;9606;9606
P0DPI2;A0A0B4J2D5,P0DPI2;A0A0B4J2D5,6;6,6;6,6;6,,,"sp|P0DPI2|GAL3A_HUMAN Glutamine amidotransferase-like class 1 domain-containing protein 3A, mitochondrial OS=Homo sapiens OX=9606 GN=GATD3A PE=1 SV=1;sp|A0A0B4J2D5|GAL3B_HUMAN Glutamine amidotransferase-like class 1 domain-containing protein 3B, mitochondr",2,6,6,6,3,4,3,3,6,5,5,6,3,4,3,3,6,5,5,6,3,4,3,3,6,5,5,6,34.7,34.7,34.7,28.17,268,268;268,1,42,0,48.163,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,16.8,26.5,16,16.8,34.7,25,25,34.7,82227000,518220,834400,1783000,428530,24857000,8220300,16911000,28675000,1664700,2713800,1660800,1480300,3587900,2899200,2204900,6608900,2,2,1,1,6,4,4,6,26,,,,5,2368;3181;3351;3695;5014;5929,True;True;True;True;True;True,2455;3295;3296;3469;3824;5205;6149,12454;12455;12456;12457;12458;12459;12460;12461;16814;16815;16816;16817;16818;16819;16820;17783;17784;17785;17786;17787;17788;17789;19578;19579;19580;27321;27322;27323;27324;27325;32600;32601;32602;32603;32604;32605;32606;32607;32608;32609;32610;32611,8624;8625;8626;8627;8628;8629;8630;11678;11679;11680;11681;12376;12377;12378;12379;12380;12381;12382;12383;13616;13617;19217;19218;19219;19220;22834,8630;11681;12379;13617;19218;22834,0,87,9606;9606
A0A0C4DH73;A0A0C4DH72;P04432;P01611;P01597,A0A0C4DH73;A0A0C4DH72;P04432;P01611;P01597,1;1;1;1;1,1;1;1;1;1,1;1;1;1;1,Ig kappa chain V-I region Daudi;Ig kappa chain V-I region Wes;Ig kappa chain V-I region DEE,IGKV1-12;IGKV1-6,sp|A0A0C4DH73|KV112_HUMAN Immunoglobulin kappa variable 1-12 OS=Homo sapiens OX=9606 GN=IGKV1-12 PE=3 SV=1;sp|A0A0C4DH72|KV106_HUMAN Immunoglobulin kappa variable 1-6 OS=Homo sapiens OX=9606 GN=IGKV1-6 PE=3 SV=1;sp|P04432|KVD39_HUMAN Immunoglobulin kappa v,5,1,1,1,1,0,0,0,1,1,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,1,0,0,13.7,13.7,13.7,12.645,117,117;117;117;117;117,1,3,0,43.554,By MS/MS,,,,By MS/MS,By MS/MS,,,13.7,0,0,0,13.7,13.7,0,0,102900000,4390100,0,0,0,97431000,1083600,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,3,,,,6,6806,TRUE,7049,37379;37380;37381,26238;26239;26240,26239,,,9606;9606;9606;9606;9606
A0A1B0GW35,A0A1B0GW35,1,1,1,,,sp|A0A1B0GW35|EXC1L_HUMAN Exocyst complex component 1-like OS=Homo sapiens OX=9606 GN=EXOC1L PE=2 SV=1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,6.4,6.4,6.4,20.25,172,172,1,1,0.0098576,1.536,,,By MS/MS,,,,,,0,0,6.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,,,,7,7815,TRUE,8143,42864,29956,29956,1,1,9606
A0AVT1,A0AVT1,7,7,7,Ubiquitin-like modifier-activating enzyme 6,UBA6,sp|A0AVT1|UBA6_HUMAN Ubiquitin-like modifier-activating enzyme 6 OS=Homo sapiens OX=9606 GN=UBA6 PE=1 SV=1,1,7,7,7,0,0,4,1,4,1,0,0,0,0,4,1,4,1,0,0,0,0,4,1,4,1,0,0,7.9,7.9,7.9,117.97,1052,1052,1,10,0,28.921,,,By MS/MS,By matching,By MS/MS,By matching,,,0,0,5.3,1.5,3.9,0.8,0,0,3720000,0,0,949430,106980,2505100,158560,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,8,,,,8,1168;1564;6268;7848;8486;12277;12622,True;True;True;True;True;True;True,1215;1625;6497;8184;8853;12771;13129,6171;6172;8245;34453;43062;47051;47052;68430;70554;70555,4327;5752;24116;30114;33162;33163;48313;49867,4327;5752;24116;30114;33163;48313;49867,,,9606
B9A064;P0DOY3;P0DOY2;P0CG04;P0CF74;A0M8Q6,B9A064;P0DOY3;P0DOY2;P0CG04;P0CF74;A0M8Q6,1;1;1;1;1;1,1;1;1;1;1;1,1;1;1;1;1;1,Immunoglobulin lambda-like polypeptide 5;Ig lambda-1 chain C regions;Ig lambda-6 chain C region;Ig lambda-7 chain C region,IGLL5;IGLC1;IGLC6;IGLC7,sp|B9A064|IGLL5_HUMAN Immunoglobulin lambda-like polypeptide 5 OS=Homo sapiens OX=9606 GN=IGLL5 PE=2 SV=2;sp|P0DOY3|IGLC3_HUMAN Immunoglobulin lambda constant 3 OS=Homo sapiens OX=9606 GN=IGLC3 PE=1 SV=1;sp|P0DOY2|IGLC2_HUMAN Immunoglobulin lambda constant,6,1,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,7,7,7,23.063,214,214;106;106;106;106;106,1,4,0,106.48,,,By matching,By MS/MS,,,By MS/MS,By MS/MS,0,0,7,7,0,0,7,7,44360000,0,0,1085700,926290,0,0,2625400,39722000,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,3,,,,9,12152,TRUE,12644,67756;67757;67758;67759,47803;47804;47805,47805,,,9606;9606;9606;9606;9606;9606
