ID,Description,poi_Cat,poi_Qty,bg_Cat,bg_Qty,pvalue,p.adjust,qvalue,geneID,Count,Cat,foldEnrichment
GO:0008380,RNA splicing,51,652,344,15490,3.0839916111028717e-15,1.338143960057536e-11,1.1414015268039682e-11,Rbm25/Prdx6/Srsf5/Srpk1/Zfp326/Hnrnpa2b1/Ncl/Pabpc1/Hnrnpa1/Fus/Snrpa1/Hnrnpk/Snrpe/Lsm6/Snrpd3/Frg1/Khsrp/Ddx17/Ddx46/Khdrbs1/Fxr1/Elavl4/Snrnp70/Raly/Srsf1/Syncrip/Celf4/Hnrnpa3/Rbm22/Srsf7/Tsen34/Rbm17/Hnrnpl/Ppp1r8/Ddx39a/Rbm39/Sfpq/Tardbp/Prpf3/Sf3b5/Rtcb/Snw1/Hnrnpm/Snu13/Nol3/Prpf4/Mbnl1/Lsm4/Ik/Hnrnpc/Hnrnpf,51,BP,3.5222125124839496
GO:0010608,posttranscriptional regulation of gene expression,55,652,426,15490,9.730600194172735e-14,1.0555268560628874e-10,9.003365863871405e-11,Tpr/Impact/Hnrnpa2b1/Dhfr/Trp53/Ncl/Gapdh/Vim/Cdk4/Rplp1/Fus/Eif5/Polr2g/Eif4e/Eif5a/Elavl1/Rps3a1/Tarbp2/Alkbh5/Khsrp/Hnrnpd/Khdrbs1/Caprin1/Fxr1/Elavl4/Ddx3x/Larp4b/Gigyf2/Larp1/Syncrip/Pum1/Zfp598/Pum3/Larp4/Cnot2/Myef2/Lsm14a/Matr3/Lin28a/Gspt1/Hnrnpl/Pus7/Tardbp/Nck1/Igf2bp3/Dph2/Carhsp1/Hnrnpa0/Hnrnpm/Sarnp/Eif4enif1/Rpl38/Limd1/Prkra/Hnrnpc,55,BP,3.0673046458711366
GO:0006417,regulation of translation,43,652,310,15490,4.909850640219084e-12,2.6629802409888254e-9,2.2714519540803027e-9,Tpr/Impact/Dhfr/Ncl/Gapdh/Vim/Cdk4/Rplp1/Eif5/Polr2g/Eif4e/Eif5a/Elavl1/Rps3a1/Tarbp2/Khsrp/Hnrnpd/Khdrbs1/Caprin1/Fxr1/Elavl4/Ddx3x/Larp4b/Gigyf2/Larp1/Syncrip/Pum1/Zfp598/Pum3/Larp4/Cnot2/Lsm14a/Lin28a/Gspt1/Hnrnpl/Pus7/Tardbp/Nck1/Igf2bp3/Dph2/Sarnp/Eif4enif1/Rpl38,43,BP,3.2954185632297643
GO:0006402,mRNA catabolic process,31,652,194,15490,1.384335976300712e-10,5.005528167640658e-8,4.269583590064302e-8,Vim/Pabpc1/Fus/Lsm6/Polr2g/Elavl1/Alkbh5/Khsrp/Hnrnpd/Fxr1/Elavl4/Larp4b/Gigyf2/Larp1/Syncrip/Pum1/Exosc6/Cnot2/Myef2/Dis3l2/Edc3/Gspt1/Csde1/Tardbp/Carhsp1/Hnrnpa0/Hnrnpm/Mrto4/Eif4enif1/Lsm4/Hnrnpc,31,BP,3.7963285054708753
GO:0006457,protein folding,25,652,147,15490,2.2754284201951487e-9,4.7014685310603574e-7,4.010228734539421e-7,Prdx4/Aip/Dffa/Pfdn2/P4hb/Ppia/Hspa5/Fkbp1a/Pdia3/Hspa9/Vbp1/Hspd1/Cct2/Hsph1/Sgta/Ahsa2/Pex19/St13/Grpel1/Nudcd2/Ppid/Erp44/Dnajc7/Dnajb1/Pfdn5,25,BP,4.040419848921164
GO:1902850,microtubule cytoskeleton organization involved in mitosis,24,652,137,15490,2.5774718857700144e-9,5.083477505616405e-7,4.336072320749938e-7,Tpx2/Tpr/Itgb1/Map4/Drg1/Rab11a/Pafah1b1/Sbds/Spc25/Nup62/Kif11/Lsm14a/Dlgap5/Rcc1/Spdl1/Dctn2/Nde1/Sapcd2/Ndel1/Zfp207/Kifc5b/Cenph/Spast/Dctn6,24,BP,4.161927365545655
GO:0140014,mitotic nuclear division,33,652,251,15490,6.144279549623983e-9,1.1108345402424358e-6,9.475125831788563e-7,Tpx2/Tpr/Drg1/Ranbp1/Cdkn1b/Pdxp/Cdc42/Rab11a/Ran/Pebp1/Bod1/Nup62/Kif11/Cep85/Rpl24/Ncaph/Dis3l2/Lsm14a/Dync1li1/Rcc1/Sh2b1/Spdl1/Dctn2/Zwint/Nde1/Ube2c/Akap8/Ndel1/Zfp207/Kifc5b/Naa10/Spast/Ik,33,BP,3.12351819715005
GO:0032886,regulation of microtubule-based process,32,652,241,15490,8.196266011948685e-9,1.3678307009940516e-6,1.1667235343324526e-6,Tpx2/Tpr/Hap1/Mapt/Map1b/Map2/Kif3a/Drg1/Cdkn1b/Capzb/Pafah1b1/Specc1l/Prkaa1/Igbp1/Hsph1/Nup62/Phldb1/Map6/Dixdc1/Map1s/Ska3/Slain2/Dync1li1/Rcc1/Bicd2/Sirt1/Rassf1/Mid1ip1/Kifc5b/Map1a/Pdcd6ip/Gsk3b,32,BP,3.154545223124507
GO:0050657,nucleic acid transport,23,652,141,15490,2.25613421756344e-8,3.3756435758647466e-6,2.8793349941753377e-6,Tpr/Hnrnpa2b1/Mapt/Hnrnpa1/Ran/Eif5a/Alkbh5/Khsrp/Khdrbs1/Nup62/Ltv1/Zc3h11a/Srsf1/Hnrnpa3/Srsf7/Ddx39a/Sfpq/Bicd2/Igf2bp3/Sarnp/Eny2/Phax/Stau1,23,BP,3.8753643997737455
GO:0050658,RNA transport,23,652,141,15490,2.25613421756344e-8,3.3756435758647466e-6,2.8793349941753377e-6,Tpr/Hnrnpa2b1/Mapt/Hnrnpa1/Ran/Eif5a/Alkbh5/Khsrp/Khdrbs1/Nup62/Ltv1/Zc3h11a/Srsf1/Hnrnpa3/Srsf7/Ddx39a/Sfpq/Bicd2/Igf2bp3/Sarnp/Eny2/Phax/Stau1,23,BP,3.8753643997737455
