ID,Description,poi_Cat,poi_Qty,bg_Cat,bg_Qty,pvalue,p.adjust,qvalue,geneID,Count,Cat,foldEnrichment
GO:0006397,mRNA processing,27,279,418,15490,9.935557058015194e-9,3.0929389121601296e-5,2.712930000893833e-5,Prdx6/Hnrnph1/Hnrnpa2b1/Hnrnpa1/Pcbp1/Snrpf/Snrpg/Pde12/Khsrp/Khdrbs1/Fxr1/Elavl4/Npm1/Srsf1/Syncrip/Rbm22/Cstf2/Mbnl2/Cstf2t/Ppp1r8/Prpf3/Srrt/Rbm8a/Srsf9/Dazap1/Lsm4/Hnrnpf,27,BP,3.586201574317024
GO:0033962,P-body assembly,7,279,20,15490,3.618834590677071e-8,5.632716040388861e-5,4.940661541166485e-5,Atxn2/Atxn2l/Cnot2/Edc3/Lsm14a/Eif4enif1/Lsm4,7,BP,19.43189964157706
GO:0010608,posttranscriptional regulation of gene expression,26,279,426,15490,5.935901019110612e-8,6.15948662416378e-5,5.4027113135343605e-5,Hnrnpa2b1/Dhfr/Cdk4/Eif4e/Pde12/Khsrp/Niban1/Khdrbs1/Caprin1/Eif4ebp1/Fxr1/Elavl4/Npm1/Larp1/Syncrip/Pum1/Cnot2/Lsm14a/Gspt1/Pus7/Srrt/Carhsp1/Eif4enif1/Rpl38/Prkra/Ilf3,26,BP,3.3885271004762147
GO:0006417,regulation of translation,21,279,310,15490,2.1167783834184761e-7,1.4760995641551673e-4,1.294740990893369e-4,Dhfr/Cdk4/Eif4e/Khsrp/Niban1/Khdrbs1/Caprin1/Eif4ebp1/Fxr1/Elavl4/Npm1/Larp1/Syncrip/Pum1/Cnot2/Lsm14a/Gspt1/Pus7/Eif4enif1/Rpl38/Ilf3,21,BP,3.7610128338536253
GO:0017148,negative regulation of translation,13,279,122,15490,3.030393024983297e-7,1.4760995641551673e-4,1.294740990893369e-4,Dhfr/Eif4e/Khsrp/Caprin1/Eif4ebp1/Fxr1/Larp1/Syncrip/Pum1/Lsm14a/Pus7/Eif4enif1/Ilf3,13,BP,5.916035019683883
GO:0034249,negative regulation of cellular amide metabolic process,14,279,144,15490,3.3192087854436783e-7,1.4760995641551673e-4,1.294740990893369e-4,Hap1/Dhfr/Eif4e/Khsrp/Caprin1/Eif4ebp1/Fxr1/Larp1/Syncrip/Pum1/Lsm14a/Pus7/Eif4enif1/Ilf3,14,BP,5.397749900438073
GO:0006402,mRNA catabolic process,16,279,194,15490,4.609231282379353e-7,1.7935671227558658e-4,1.5732034140121109e-4,Pde12/Khsrp/Fxr1/Elavl4/Npm1/Larp1/Syncrip/Pum1/Exosc6/Cnot2/Edc3/Gspt1/Carhsp1/Rbm8a/Eif4enif1/Lsm4,16,BP,4.578945423641134
GO:0010563,negative regulation of phosphorus metabolic process,25,279,461,15490,9.85778472235307e-7,2.360560295437316e-4,2.0705338922901914e-4,Mapt/Prkar1b/Ppia/Gstp1/Fkbp1a/Cdkn1b/Crkl/Pebp1/Irs2/Mprip/Pde12/Niban1/Bod1/Npm1/Nup62/Pip4k2b/Tiprl/Cep85/Ppp1r8/Hexim1/Park7/Pard3/Prkar1a/Pbk/Uchl1,25,BP,3.010830437182687
GO:0045936,negative regulation of phosphate metabolic process,25,279,461,15490,9.85778472235307e-7,2.360560295437316e-4,2.0705338922901914e-4,Mapt/Prkar1b/Ppia/Gstp1/Fkbp1a/Cdkn1b/Crkl/Pebp1/Irs2/Mprip/Pde12/Niban1/Bod1/Npm1/Nup62/Pip4k2b/Tiprl/Cep85/Ppp1r8/Hexim1/Park7/Pard3/Prkar1a/Pbk/Uchl1,25,BP,3.010830437182687
GO:0007100,mitotic centrosome separation,5,279,12,15490,1.306198920311794e-6,2.9044265992361534e-4,2.5475789468336796e-4,Ranbp1/Nup62/Kif11/Cep85/Nde1,5,BP,23.13321385902031
GO:0051258,protein polymerization,18,279,270,15490,2.006242096966263e-6,4.06899734598841e-4,3.569066602023412e-4,Mapt/Map1b/Cfl1/Cdkn1b/Capzb/Tubgcp3/Mtpn/Vasp/Cttn/Grb2/Dbnl/Tppp3/Nde1/Ube2c/Arpc5l/Baiap2l1/Tmod3/Dbn1,18,BP,3.701314217443249
GO:0032271,regulation of protein polymerization,15,279,206,15490,4.997503771057111e-6,8.188015389105676e-4,7.182008189541355e-4,Mapt/Map1b/Cfl1/Cdkn1b/Capzb/Mtpn/Vasp/Cttn/Grb2/Dbnl/Tppp3/Arpc5l/Baiap2l1/Tmod3/Dbn1,15,BP,4.042697567595782
GO:0008154,actin polymerization or depolymerization,14,279,195,15490,1.2160175990705011e-5,0.001514185114362588,0.001328147221890055,Cfl1/Capzb/Mtpn/Vasp/Enah/Cttn/Grb2/Dbnl/Arpc5l/Baiap2l1/Lima1/Tmod3/Dbn1/Dstn,14,BP,3.986030695708115
GO:0008064,regulation of actin polymerization or depolymerization,13,279,171,15490,1.3540441858479156e-5,0.0015690165464826644,0.0013762418792418996,Cfl1/Capzb/Mtpn/Vasp/Cttn/Grb2/Dbnl/Arpc5l/Baiap2l1/Lima1/Tmod3/Dbn1/Dstn,13,BP,4.220796914628267
GO:0030832,regulation of actin filament length,13,279,172,15490,1.4415199725249253e-5,0.0015690165464826644,0.0013762418792418996,Cfl1/Capzb/Mtpn/Vasp/Cttn/Grb2/Dbnl/Arpc5l/Baiap2l1/Lima1/Tmod3/Dbn1/Dstn,13,BP,4.196257397682754
GO:0034643,"establishment of mitochondrion localization, microtubule-mediated",5,279,21,15490,2.9377015468755197e-5,0.0028578327860698414,0.0025067098067747032,Hap1/Mapt/Map1b/Map6/Uchl1,5,BP,13.218979348011606
GO:0047497,mitochondrion transport along microtubule,5,279,21,15490,2.9377015468755197e-5,0.0028578327860698414,0.0025067098067747032,Hap1/Mapt/Map1b/Map6/Uchl1,5,BP,13.218979348011606
GO:0006457,protein folding,11,279,147,15490,7.212569637754016e-5,0.00545915227789229,0.004788422408187262,Aip/Ppia/Fkbp1a/Vbp1/Sgta/Ahsa1/Ahsa2/Pex19/St13/Nudcd2/Stub1,11,BP,4.154536366517933
GO:0006413,translational initiation,9,279,100,15490,7.97362517592111e-5,0.0057725337610796314,0.005063300784905596,Eif1/Eif4e/Khdrbs1/Eif4ebp1/Npm1/Larp1/Eif4b/Eif4h/Eif3g,9,BP,4.996774193548387
GO:0010738,regulation of protein kinase A signaling,5,279,26,15490,8.821158562823357e-5,0.006240969683197525,0.005474183088986553,Aip/Prkar1b/Mif/Prkar1a/Akap12,5,BP,10.67686793493245
GO:0051348,negative regulation of transferase activity,14,279,246,15490,1.5374031117484647e-4,0.010248737639442231,0.008989543150696788,Mapt/Prkar1b/Ppia/Gstp1/Cdkn1b/Irs2/Npm1/Nup62/Pip4k2b/Cep85/Hexim1/Park7/Prkar1a/Uchl1,14,BP,3.159658478305213
GO:0061640,cytoskeleton-dependent cytokinesis,8,279,88,15490,1.8526946076729162e-4,0.011308702575854486,0.009919277218376769,Cfl1/Kif4/Nup62/Septin9/Cep55/Septin10/Anln/Arl3,8,BP,5.047246660149886
GO:1901799,negative regulation of proteasomal protein catabolic process,6,279,49,15490,2.3613204780245327e-4,0.013211710555499308,0.01158847521631366,Senp1/Psmf1/Sgta/Psme3ip1/Park7/Pbk,6,BP,6.798332236120255
GO:0046785,microtubule polymerization,7,279,74,15490,3.6646659037467284e-4,0.016297292797662236,0.014294952412509795,Mapt/Map1b/Cdkn1b/Capzb/Tubgcp3/Tppp3/Nde1,7,BP,5.2518647679938
GO:0016239,positive regulation of macroautophagy,6,279,57,15490,5.433757590928141e-4,0.02061216389935644,0.018079683890960013,Pafah1b2/Gpsm1/Larp1/Pip4k2b/Hspb8/Bag3,6,BP,5.844180343331447
GO:1901879,regulation of protein depolymerization,7,279,85,15490,8.499509666488891e-4,0.028450509238473032,0.02495498367274724,Map1b/Cfl1/Capzb/Mtpn/Lima1/Tmod3/Dstn,7,BP,4.5722116803710735
GO:0050657,nucleic acid transport,9,279,141,15490,0.0010345999483855684,0.03313006199114149,0.02905959078398601,Hnrnpa2b1/Mapt/Hnrnpa1/Khsrp/Khdrbs1/Npm1/Nup62/Srsf1/Stau1,9,BP,3.54381148478609
GO:0050658,RNA transport,9,279,141,15490,0.0010345999483855684,0.03313006199114149,0.02905959078398601,Hnrnpa2b1/Mapt/Hnrnpa1/Khsrp/Khdrbs1/Npm1/Nup62/Srsf1/Stau1,9,BP,3.54381148478609
GO:0051236,establishment of RNA localization,9,279,143,15490,0.0011427336373016047,0.03557329812919895,0.031202642685898556,Hnrnpa2b1/Mapt/Hnrnpa1/Khsrp/Khdrbs1/Npm1/Nup62/Srsf1/Stau1,9,BP,3.494247687796075
GO:0035195,gene silencing by miRNA,6,279,69,15490,0.0014998016259196098,0.04206200415754726,0.036894124396732744,Hnrnpa2b1/Fxr1/Pum1/Srrt/Eif4enif1/Prkra,6,BP,4.827801153186848
GO:0098754,detoxification,5,279,48,15490,0.0016628705777693206,0.04540803604031487,0.039829051511852426,Prdx6/Dhfr/Sod1/Prdx2/Park7,5,BP,5.783303464755077
GO:0031623,receptor internalization,8,279,124,15490,0.0018213790860790555,0.046285490222934066,0.040598698712797254,Hap1/Atxn2/Eps15/Grb2/Ppp3r1/Scrib/Pard3/Snx1,8,BP,3.5819169846224996
GO:0022618,ribonucleoprotein complex assembly,9,279,153,15490,0.0018288195622938933,0.046285490222934066,0.040598698712797254,Snrpf/Snrpg/Rps28/Srsf1/Eif4b/Prpf3/Rpl38/Lsm4/Eif4h,9,BP,3.265865485979338
GO:0001841,neural tube formation,8,279,126,15490,0.0020149890773800915,0.049391031479403345,0.04332268269145427,Tulp3/Cfl1/Vasp/Enah/Phactr4/Scrib/Stk4/Nup50,8,BP,3.525061159469762
GO:0036464,cytoplasmic ribonucleoprotein granule,22,282,190,15671,4.12753054924774e-12,1.6262470364036095e-9,1.2469487027727383e-9,Atxn2/Hnrnpa2b1/Mapt/Ina/Psma2/Pcbp1/Snrpg/Eif4e/Khsrp/Caprin1/Fxr1/Sqstm1/Larp1/Atxn2l/Pum1/Cnot2/Edc3/Lsm14a/Carhsp1/Eif4enif1/Lsm4/Stau1,22,CC,6.434527808883912
GO:0099522,region of cytosol,8,282,38,15671,3.048409688825625e-7,3.002683543493241e-5,2.302351528139354e-5,Hap1/Hnrnpa2b1/Marcksl1/Plcb3/Eif4e/Eif4ebp1/Hnrnpab/Dbn1,8,CC,11.69914147069802
GO:0015629,actin cytoskeleton,25,282,443,15671,4.685998287675608e-7,3.6925666506883785e-5,2.831329491711367e-5,Cfl1/Tpm3/Marcks/Capzb/Tnks1bp1/Mtpn/Mprip/Enah/Cttn/Myl6/Dbnl/Tpm4/Septin9/Anln/Dctn2/Cttnbp2nl/Arpc5l/Cnn3/Baiap2l1/Ppp1r12a/Lima1/Tmod3/Bag3/Dbn1/Dstn,25,CC,3.136056545474921
GO:0071013,catalytic step 2 spliceosome,9,282,70,15671,4.335347617545252e-6,2.1351587016410367e-4,1.6371641660993256e-4,Hnrnph1/Hnrnpa2b1/Snrpf/Snrpg/Srsf1/Syncrip/Rbm22/Rbm8a/Hnrnpf,9,CC,7.14483282674772
GO:0005844,polysome,8,282,65,15671,2.0665545905758247e-5,8.142225086868749e-4,6.24317018416065e-4,Atxn2/Vbp1/Rps28/Fxr1/Elavl4/Larp1/Rps21/Rpl38,8,CC,6.83949809056192
GO:0005938,cell cortex,16,282,271,15671,3.345070595766458e-5,0.0010982981789433204,8.42136193846468e-4,Cfl1/Tpm3/Marcks/Capzb/Cttn/Dbnl/Gpsm1/Tpm4/Phldb1/Septin9/Septin10/Anln/Pard3/Sapcd2/Dbn1/Dstn,16,CC,3.2809400434429876
GO:0000502,proteasome complex,7,282,61,15671,1.0782918498123134e-4,0.0026449603346037926,0.0020280620251971375,Psmd14/Psmb8/Psma2/Psme1/Psme4/Psmf1/Adrm1,7,CC,6.376991047552611
GO:0030027,lamellipodium,11,282,155,15671,1.1537014088733252e-4,0.0026449603346037926,0.0020280620251971375,Cfl1/Capzb/Vasp/Enah/Phactr4/Cttn/Dbnl/Srgap2/Tmod3/Tesc/Dbn1,11,CC,3.9437428506062684
GO:0030427,site of polarized growth,12,282,185,15671,1.3426194591897425e-4,0.0026449603346037926,0.0020280620251971375,Hap1/Mapt/Map1b/Cfl1/Tpm3/Cttn/Fxr1/Elavl4/Dbnl/Dctn2/Pard3/Dbn1,12,CC,3.604600345025877
GO:0042788,polysomal ribosome,5,282,29,15671,1.5176494291374107e-4,0.002717972159455181,0.0020840449098681194,Rps28/Elavl4/Larp1/Rps21/Rpl38,5,CC,9.581193445830277
GO:0030863,cortical cytoskeleton,9,282,111,15671,1.772928813981168e-4,0.0029273295417426995,0.002244572745071212,Cfl1/Tpm3/Capzb/Cttn/Dbnl/Tpm4/Anln/Dbn1/Dstn,9,CC,4.505750431282346
GO:0099568,cytoplasmic region,12,282,200,15671,2.7731687408120195e-4,0.00420241724569206,0.0032222648931702416,Tulp3/Hnrnpa2b1/Sod1/Mapt/Map4/Ranbp1/Phldb1/Septin9/Anln/Sapcd2/Prkar1a/Arl3,12,CC,3.3342553191489364
GO:0030426,growth cone,11,282,179,15671,4.043610545427698e-4,0.005689937696066118,0.004362842956908833,Hap1/Mapt/Map1b/Cfl1/Tpm3/Cttn/Fxr1/Elavl4/Dctn2/Pard3/Dbn1,11,CC,3.414972859463529
GO:0000776,kinetochore,9,282,126,15671,4.572866587695678e-4,0.005916353352516113,0.004536450473342571,Bod1/Ercc6l/Dync1li1/Dctn2/Pmf1/Nudcd2/Zwint/Nde1/Ppp1r12a,9,CC,3.9693515704154
GO:0032153,cell division site,6,282,56,15671,4.913482397708931e-4,0.006049725202179121,0.004638715289942313,Tpm3/Tubgcp3/Septin9/Septin10/Anln/Lima1,6,CC,5.9540273556231
GO:0016234,inclusion body,6,282,67,15671,0.0012809165297710003,0.01401891979804928,0.010749211814160149,Hap1/Mapt/Eps15/Pold1/Sqstm1/Stub1,6,CC,4.976500476341696
GO:0030175,filopodium,6,282,86,15671,0.004547232298380136,0.03894803316438638,0.029863974133526292,Gap43/Cfl1/Vasp/Enah/Fxr1/Dbn1,6,CC,3.8770410687778325
GO:0003729,mRNA binding,25,278,252,15381,4.795265578537705e-12,2.1674600414990424e-9,1.8524868077087762e-9,Hnrnpa2b1/Dhfr/Pcbp3/Pcbp1/Khsrp/Khdrbs1/Fxr1/Elavl4/Pcbp2/Srsf1/Larp1/Syncrip/Pum1/Cstf2/Cstf2t/Edc3/Lsm14a/Ppp1r8/Park7/Carhsp1/Rbm8a/Serbp1/Eif4enif1/Dazap1/Ilf3,25,MF,5.488823227132579
GO:0003727,single-stranded RNA binding,11,278,80,15381,1.916095050547479e-7,4.3303748142373026e-5,3.701088860794341e-5,Hmgb1/Khdrbs1/Fxr1/Elavl4/Syncrip/Eif4b/Lsm14a/Dazap1/Eif4h/Ilf3/Hnrnpf,11,MF,7.607508992805755
GO:0019903,protein phosphatase binding,14,278,157,15381,9.938929422395366e-7,1.3476299960889172e-4,1.1517936855254602e-4,Sod1/Mapt/Cfl1/Cdkn1b/Strn4/Irs2/Phactr4/Bod1/Grb2/Eif4ebp1/Ppp2r2a/Cttnbp2nl/Pard3/Stau1,14,MF,4.933647986069743
GO:0045182,translation regulator activity,12,278,118,15381,1.490741146116059e-6,1.3476299960889172e-4,1.1517936855254602e-4,Dhfr/Eif1/Pcbp1/Eif4e/Eif4ebp1/Fxr1/Elavl4/Larp1/Eif4b/Gspt1/Eif4h/Eif3g,12,MF,5.626508962321668
