ID,Description,poi_Cat,poi_Qty,bg_Cat,bg_Qty,pvalue,p.adjust,qvalue,geneID,Count,Cat,foldEnrichment
GO:0032543,mitochondrial translation,13,203,72,15490,8.231713091866269e-12,1.688324355141772e-8,1.66367254067192e-8,Mrpl23/Mrps35/Mrpl47/Mrpl58/Mrps2/Mrps18b/Mrpl51/Mrps17/Mrps14/Mrpl44/Mrps25/Mrps15/Mrps34,13,BP,13.77736726874658
GO:0140053,mitochondrial gene expression,13,203,102,15490,7.698437937537417e-10,7.894748104944622e-7,7.779474126353601e-7,Mrpl23/Mrps35/Mrpl47/Mrpl58/Mrps2/Mrps18b/Mrpl51/Mrps17/Mrps14/Mrpl44/Mrps25/Mrps15/Mrps34,13,BP,9.725200424997587
GO:0022613,ribonucleoprotein complex biogenesis,20,203,377,15490,1.2169702731726228e-7,8.320020100923498e-5,8.198536577162933e-5,Rps16/Rps2/Rps8/Rps6/Rps15/Rps24/Frg1/Usp39/Esf1/Eri1/Mrps7/Noc4l/Mrpl22/Sf3a1/Mrps2/Mrm1/Prpf19/Gtpbp4/Trmt112/Sart3,20,BP,4.048032823300362
GO:0008380,RNA splicing,16,203,344,15490,1.2476947213722873e-5,0.005118043747069123,0.005043313400073246,Rps13/Rps26/Frg1/Rbm15/Usp39/Srrm1/Ttf2/Elavl4/Cdc5l/Srsf7/Sf3a1/Rbm42/Prpf19/Bcas2/Sart3/Ik,16,BP,3.5490892427540386
GO:0006364,rRNA processing,11,203,196,15490,5.5852919457443207e-5,0.01636490540103086,0.016125955692976084,Rps16/Rps8/Rps6/Rps15/Rps24/Frg1/Esf1/Eri1/Mrm1/Gtpbp4/Trmt112,11,BP,4.282446968935357
GO:0016072,rRNA metabolic process,11,203,203,15490,7.665012954392744e-5,0.01746771285495502,0.017212660669513533,Rps16/Rps8/Rps6/Rps15/Rps24/Frg1/Esf1/Eri1/Mrm1/Gtpbp4/Trmt112,11,BP,4.134776383799656
GO:0006984,ER-nucleus signaling pathway,5,203,40,15490,1.6675209571968377e-4,0.03420085483210714,0.033701476187557144,Lpcat3/Erlin1/Selenos/Tmem33/Amfr,5,BP,9.538177339901479
GO:0044391,ribosomal subunit,56,208,171,15671,4.74238835667376e-64,1.6882902549758585e-61,1.4526684334653309e-61,Mrpl23/Rps16/Rps2/Rps8/Rps23/Rps18/Rps11/Rps13/Rps4x/Rps6/Rps15/Rps24/Rps26/Rpl30/Rpl8/Rps27a/Rps3a1/Mrps7/Mrps26/Mrps35/Mrpl22/Mrpl38/Mrpl47/Mrpl58/Mrpl37/Mrps2/Mrps18b/Mrps5/Mrpl34/Mrpl9/Mrpl3/Mrpl15/Mrpl42/Mrpl51/Mrpl24/Mrps17/Mrpl11/Mrpl18/Mrpl41/Mrpl33/Mrps24/Mrps14/Mrps22/Mrpl44/Rpl15/Mrpl45/Mrps25/Mrpl28/Mrpl21/Mrpl13/Mrpl19/Mrps9/Mrpl17/Mrps15/Mrpl4/Mrps34,56,CC,24.673189383715698
GO:0005761,mitochondrial ribosome,39,208,86,15671,4.0656846986075974e-51,3.618459381760762e-49,3.1134585455126608e-49,Mrpl23/Mrps7/Mrps26/Mrps35/Mrpl22/Mrpl38/Mrpl47/Mrpl58/Mrpl37/Mrps2/Mrps18b/Mrps5/Mrpl34/Mrpl9/Mrpl3/Mrpl15/Mrpl42/Mrpl51/Mrpl24/Mrps17/Mrpl11/Mrpl18/Mrpl41/Mrpl33/Mrps24/Mrps14/Mrps22/Mrpl44/Mrpl45/Mrps25/Mrpl28/Mrpl21/Mrpl13/Mrpl19/Mrps9/Mrpl17/Mrps15/Mrpl4/Mrps34,39,CC,34.16642441860465
GO:0098798,mitochondrial protein-containing complex,43,208,247,15671,5.9815636901406374e-36,3.5490611228167784e-34,3.0537456733875893e-34,Phb2/Mrpl23/Mcu/Dnajc11/Mrps7/Mrps26/Mrps35/Mrpl22/Immt/Mrpl38/Mrpl47/Mrpl58/Mrpl37/Mrps2/Mrps18b/Mrps5/Mrpl34/Mrpl9/Mrpl3/Mrpl15/Mrpl42/Mrpl51/Mrpl24/Mrps17/Mrpl11/Mrpl18/Mrpl41/Mrpl33/Mrps24/Mrps14/Mrps22/Mrpl44/Mrpl45/Mrps25/Mrpl28/Mrpl21/Mrpl13/Mrpl19/Mrps9/Mrpl17/Mrps15/Mrpl4/Mrps34,43,CC,13.116104796013703
GO:0031301,integral component of organelle membrane,20,208,341,15671,2.9174296213628144e-8,6.924032968034413e-7,5.957698384677748e-7,Pex10/Dhcr7/Cux1/Mcu/Dnajc11/Sv2c/Immt/Gpat4/Hacd3/Tram1/Derl1/Rrbp1/Selenos/Tmem33/Yif1b/Tecr/Elovl1/Dolpp1/Amfr/Gpaa1,20,CC,4.418847281750508
GO:0030176,integral component of endoplasmic reticulum membrane,13,208,138,15671,3.751072137028445e-8,8.34613550488829e-7,7.181328893916301e-7,Dhcr7/Gpat4/Hacd3/Tram1/Derl1/Rrbp1/Selenos/Tmem33/Tecr/Elovl1/Dolpp1/Amfr/Gpaa1,13,CC,7.097373188405797
