ID,Description,poi_Cat,poi_Qty,bg_Cat,bg_Qty,pvalue,p.adjust,qvalue,geneID,Count,Cat,foldEnrichment
GO:0006401,RNA catabolic process,66,414,412,16854,5.783624223860987e-35,1.55106078483607e-31,1.3388781284368341e-31,PSMD14/PSMA7/PSMD10/RPLP1/NPM1/VIM/RPL35A/RPL7/RPL17/PSMA1/PSMA2/RPL13/RPL10/PSMB8/PSMB5/RPL9/RPL22/FUS/PSMB10/RPL27A/RPL28/PSMB2/RPL14/FXR1/NCBP2/RPS20/PSME3/MAGOH/RPS8/RPS15A/RPS16/RPS14/RPS23/RPS29/RPS11/LSM6/RPL7A/RPS4X/RPS6/RPL23/RPS25/RPS28/RPL30/RPL11/RPL8/RPL38/RPS21/RPL24/RPL19/PPP1R8/PABPC4/ELAVL1/LARP1/SMG6/DCP1B/SERBP1/PSMF1/LARP4B/ISG20/TRIR/UPF3B/MRTO4/LSM2/RPL36/LSM4/RBM8A,66,BP,6.5215280709159975
GO:0006402,mRNA catabolic process,63,414,373,16854,9.196921345010791e-35,1.55106078483607e-31,1.3388781284368341e-31,PSMD14/PSMA7/PSMD10/RPLP1/NPM1/VIM/RPL35A/RPL7/RPL17/PSMA1/PSMA2/RPL13/RPL10/PSMB8/PSMB5/RPL9/RPL22/FUS/PSMB10/RPL27A/RPL28/PSMB2/RPL14/FXR1/NCBP2/RPS20/PSME3/MAGOH/RPS8/RPS15A/RPS16/RPS14/RPS23/RPS29/RPS11/LSM6/RPL7A/RPS4X/RPS6/RPL23/RPS25/RPS28/RPL30/RPL11/RPL8/RPL38/RPS21/RPL24/RPL19/PABPC4/ELAVL1/LARP1/SMG6/DCP1B/SERBP1/PSMF1/LARP4B/UPF3B/MRTO4/LSM2/RPL36/LSM4/RBM8A,63,BP,6.8759762210047795
GO:0006413,translational initiation,46,414,191,16854,1.271574708480355e-32,1.0722553729260594e-29,9.255725378043848e-30,DDX3X/DENR/EIF3G/RPLP1/NPM1/RPL35A/RPL7/RPL17/EIF4B/RPL13/RPL10/RPL9/RPL22/RPL27A/RPL28/EIF1AX/RPL14/NCBP2/EIF5/EIF6/RPS20/RPS8/RPS15A/RPS16/RPS14/RPS23/RPS29/RPS11/RPL7A/RPS4X/RPS6/RPL23/RPS25/RPS28/RPL30/RPL11/RPL8/RPL38/RPS21/RPL24/RPL19/EIF4H/LARP1/EIF1AD/MCTS1/RPL36,46,BP,9.804537521815009
GO:0045047,protein targeting to ER,37,414,110,16854,2.812857653933931e-32,1.89755377334383e-29,1.6379714254276323e-29,GET3/SGTA/RPLP1/RPL35A/RPL7/RPL17/RPL13/RPL10/RPL9/RPL22/SRP14/RPL27A/RPL28/SRP9/RPL14/RPS20/RPS8/RPS15A/RPS16/RPS14/RPS23/RPS29/RPS11/RPL7A/RPS4X/RPS6/RPL23/RPS25/RPS28/RPL30/RPL11/RPL8/RPL38/RPS21/RPL24/RPL19/RPL36,37,BP,13.693412384716732
GO:0072599,establishment of protein localization to endoplasmic reticulum,37,414,114,16854,1.2694484827115955e-31,6.116928188837445e-29,5.280142110045523e-29,GET3/SGTA/RPLP1/RPL35A/RPL7/RPL17/RPL13/RPL10/RPL9/RPL22/SRP14/RPL27A/RPL28/SRP9/RPL14/RPS20/RPS8/RPS15A/RPS16/RPS14/RPS23/RPS29/RPS11/RPL7A/RPS4X/RPS6/RPL23/RPS25/RPS28/RPL30/RPL11/RPL8/RPL38/RPS21/RPL24/RPL19/RPL36,37,BP,13.212941774726671
GO:0019080,viral gene expression,41,414,197,16854,1.7683027462385308e-26,5.422259239147786e-24,4.680502771383518e-24,DENR/EIF3G/RPLP1/GTF2F2/RPL35A/RPL7/RPL17/RPL13/PTBP1/RPL10/RPL9/RPL22/NUP62/RPL27A/RPL28/NUP153/RPL14/RPS20/RPS8/RPS15A/RPS16/RPS14/RPS23/RPS29/RPS11/RPL7A/RPS4X/RPS6/RPL23/RPS25/RPS28/RPL30/RPL11/RPL8/RPL38/RPS21/RPL24/RPL19/PCBP2/MCTS1/RPL36,41,BP,8.472669756492312
GO:0090150,establishment of protein localization to membrane,46,414,346,16854,5.090542103177156e-21,1.2264570367154676e-18,1.0586796584502264e-18,SEC16A/GET3/SGTA/RPLP1/RPL35A/RPL7/RPL17/RPL13/RPL10/RPL9/RPL22/SRP14/PEX19/RPL27A/RPL28/SRP9/RPL14/AFDN/BID/RPS20/RPS8/RPS15A/RPS16/RPS14/RPS23/RPS29/RPS11/RPL7A/RAB11A/RPS4X/RPS6/RPL23/RPS25/RPS28/RPL30/RPL11/RPL8/PPP3R1/RPL38/RPS21/RPL24/RPL19/SCRIB/VPS37A/MACF1/RPL36,46,BP,5.4123314065510595
GO:0022613,ribonucleoprotein complex biogenesis,46,414,429,16854,3.0341898292663505e-17,6.822881529410267e-15,5.889522152807527e-15,DDX3X/PRPF3/DENR/NUDT21/PSIP1/SRSF10/EIF3G/NPM1/SNRPB/RPL35A/RPL7/EIF4B/RPL10/RPL14/EIF5/EIF6/RPS8/RPS16/RPS14/SNRPG/LSM6/SNRPD2/SNRPD3/RPL7A/RPS6/RAN/RPS25/RPS28/RPL11/RPL38/RPS21/RPL24/SRSF1/SRSF9/EIF4H/GEMIN6/ISG20/SCAF11/NIFK/MRTO4/MCTS1/MRPS7/LSM2/UTP11/NOP16/LSM4,46,BP,4.365190365190365
GO:0071826,ribonucleoprotein complex subunit organization,30,414,192,16854,5.173401861709091e-16,1.0906177799715477e-13,9.41422996676799e-14,PRPF3/DENR/NUDT21/PSIP1/SRSF10/EIF3G/SNRPB/EIF4B/RPL10/EIF5/EIF6/RPS14/SNRPG/SNRPD2/SNRPD3/RPS28/RPL11/RPL38/RPL24/KLC1/SRSF1/SRSF9/EIF4H/GEMIN6/SCAF11/MRTO4/MCTS1/MRPS7/LSM2/LSM4,30,BP,6.360960144927536
GO:0022618,ribonucleoprotein complex assembly,29,414,185,16854,1.476619330682212e-15,2.767020556883945e-13,2.3884965313842097e-13,PRPF3/DENR/NUDT21/PSIP1/SRSF10/EIF3G/SNRPB/EIF4B/RPL10/EIF5/EIF6/RPS14/SNRPG/SNRPD2/SNRPD3/RPS28/RPL11/RPL38/RPL24/SRSF1/SRSF9/EIF4H/GEMIN6/SCAF11/MRTO4/MCTS1/MRPS7/LSM2/LSM4,29,BP,6.381590285938112
GO:0000377,"RNA splicing, via transesterification reactions with bulged adenosine as nucleophile",39,414,346,16854,1.7197436573934534e-15,2.900347678194059e-13,2.503584713868575e-13,PRPF3/PPIH/NUDT21/PSIP1/SRSF10/SNRPA1/GTF2F2/SNRPB/SON/PTBP1/PRDX6/HNRNPH3/CSTF2/FUS/FXR1/NCBP2/MAGOH/SNRPG/LSM6/SNRPD2/SNRPD3/SRSF3/SRSF11/SRSF1/SRSF9/NONO/PCBP1/PCBP2/ELAVL1/SRSF7/CHERP/GEMIN6/PSPC1/SCAF11/UPF3B/SRRM2/LSM2/LSM4/RBM8A,39,BP,4.588715757728073
GO:0000398,"mRNA splicing, via spliceosome",39,414,346,16854,1.7197436573934534e-15,2.900347678194059e-13,2.503584713868575e-13,PRPF3/PPIH/NUDT21/PSIP1/SRSF10/SNRPA1/GTF2F2/SNRPB/SON/PTBP1/PRDX6/HNRNPH3/CSTF2/FUS/FXR1/NCBP2/MAGOH/SNRPG/LSM6/SNRPD2/SNRPD3/SRSF3/SRSF11/SRSF1/SRSF9/NONO/PCBP1/PCBP2/ELAVL1/SRSF7/CHERP/GEMIN6/PSPC1/SCAF11/UPF3B/SRRM2/LSM2/LSM4/RBM8A,39,BP,4.588715757728073
