ID,Description,poi_Cat,poi_Qty,bg_Cat,bg_Qty,pvalue,p.adjust,qvalue,geneID,Count,Cat,foldEnrichment
GO:0010608,posttranscriptional regulation of gene expression,55,633,426,15490,2.842989331439413e-14,1.2020158893325838e-10,1.0216805871088587e-10,Hnrnpa2b1/Dhfr/Trp53/Gapdh/Vim/Zfp36l2/Aco1/Cdk4/Rplp1/Fus/Eif5/Eif4e/Eif5a/Elavl1/Rps3a1/Tarbp2/Alkbh5/Khsrp/Tnrc6c/Hnrnpd/Khdrbs1/Caprin1/Cdc37/Elavl4/Npm1/Ddx3x/Larp4b/Abcf1/Gigyf2/Larp1/Syncrip/Zfp598/Tnrc6b/Unk/Larp4/Ythdf3/Cnot2/Lsm14a/Matr3/Gspt1/Hnrnpl/Pus7/Tardbp/Nck1/Dph2/Carhsp1/Hnrnpa0/Shmt2/Tsfm/Sarnp/Mrpl13/Eif4enif1/Limd1/Prkra/Ilf3,55,BP,3.159372241876748
GO:0006417,regulation of translation,45,633,310,15490,1.0594933527505614e-13,2.2397689477146867e-10,1.9037422664686406e-10,Dhfr/Gapdh/Vim/Zfp36l2/Aco1/Cdk4/Rplp1/Eif5/Eif4e/Eif5a/Elavl1/Rps3a1/Tarbp2/Khsrp/Tnrc6c/Hnrnpd/Khdrbs1/Caprin1/Elavl4/Npm1/Ddx3x/Larp4b/Abcf1/Gigyf2/Larp1/Syncrip/Zfp598/Tnrc6b/Unk/Larp4/Ythdf3/Cnot2/Lsm14a/Gspt1/Hnrnpl/Pus7/Tardbp/Nck1/Dph2/Shmt2/Tsfm/Sarnp/Mrpl13/Eif4enif1/Ilf3,45,BP,3.552209142332977
GO:0034248,regulation of cellular amide metabolic process,49,633,365,15490,1.7477818113456837e-13,2.4632071661231834e-10,2.093658632959356e-10,Hap1/Dhfr/Trp53/Gapdh/Vim/Zfp36l2/Aco1/Cdk4/Rplp1/Eif5/Eif4e/Eif5a/Elavl1/Rps3a1/Tarbp2/Rela/Khsrp/Tnrc6c/Hnrnpd/Khdrbs1/Caprin1/Elavl4/Npm1/Ddx3x/Larp4b/Abcf1/Gigyf2/Larp1/Syncrip/Zfp598/Tnrc6b/Unk/Larp4/Ythdf3/Cnot2/Lsm14a/Gspt1/Hnrnpl/Pus7/Tardbp/Nck1/Dph2/Shmt2/Tsfm/Sarnp/Mrpl13/Eif4enif1/Pin1/Ilf3,49,BP,3.2851176177800863
GO:1903311,regulation of mRNA metabolic process,36,633,230,15490,3.5003668845436704e-12,3.6998877969626596e-9,3.144803301008445e-9,Prdx6/Hnrnpa2b1/Vim/Zfp36l2/Pabpc1/Fus/Hnrnpk/Hspa8/Elavl1/Alkbh5/Khsrp/Tnrc6c/Ddx17/Hnrnpd/Khdrbs1/Elavl4/Npm1/Snrnp70/Larp4b/Gigyf2/Larp1/Syncrip/Celf4/Tnrc6b/Ythdf3/Bag4/Hnrnpl/Rbm39/Tardbp/Carhsp1/Snw1/Rbm8a/Hnrnpa0/Eif4enif1/Acin1/Mbnl1,36,BP,3.83020811868947
GO:0008380,RNA splicing,43,633,344,15490,5.995318085093831e-11,5.069640972755344e-8,4.309055987896915e-8,Prdx6/Hnrnph1/Zfp326/Hnrnpa2b1/Pabpc1/Hnrnpa1/Fus/Hnrnpk/Snrpd2/Hspa8/Frg1/Khsrp/Ddx17/Khdrbs1/Elavl4/Npm1/Snrnp70/Raly/Syncrip/Celf4/Hnrnpa3/Grsf1/Tcerg1/Sugp1/Hnrnpl/Ppp1r8/Rbm39/Sfpq/Tardbp/Hnrnpll/Prpf3/Rtcb/Magohb/Snw1/Rbm8a/Snu13/Dcps/Prpf4/Acin1/Mbnl1/Lsm4/Ik/Hnrnpf,43,BP,3.0588467614533967
GO:0006457,protein folding,26,633,147,15490,2.3812155378023233e-10,1.4382541848326034e-7,1.22247666858002e-7,Prdx4/Aip/Pfdn2/P4hb/Ppia/Hspa5/Fkbp1a/Hspa9/Vbp1/Hspa8/Dnaja1/Hspd1/Cct2/Cdc37/Hsph1/Sgta/Ahsa1/Ahsa2/Pex19/St13/Nudcd2/Ppid/Erp44/Dnajc7/Dnajb1/Stub1,26,BP,4.328164125049703
GO:0006402,mRNA catabolic process,30,633,194,15490,3.081208284740057e-10,1.6284185784851203e-7,1.3841111952766523e-7,Vim/Zfp36l2/Pabpc1/Fus/Elavl1/Alkbh5/Khsrp/Tnrc6c/Hnrnpd/Elavl4/Npm1/Larp4b/Gigyf2/Larp1/Syncrip/Tnrc6b/Exosc6/Ythdf3/Cnot2/Edc3/Gspt1/Csde1/Tardbp/Magohb/Carhsp1/Rbm8a/Hnrnpa0/Dcps/Eif4enif1/Lsm4,30,BP,3.7841403234475006
GO:0009163,nucleoside biosynthetic process,10,633,19,15490,8.012950058485057e-10,2.8232294039395685e-7,2.399667675409473e-7,Hprt/Aprt/Nme1/Pnp/Impdh2/Impdh1/Gmps/Guk1/Mtap/Ak1,10,BP,12.879354785066932
GO:0042451,purine nucleoside biosynthetic process,10,633,19,15490,8.012950058485057e-10,2.8232294039395685e-7,2.399667675409473e-7,Hprt/Aprt/Nme1/Pnp/Impdh2/Impdh1/Gmps/Guk1/Mtap/Ak1,10,BP,12.879354785066932
GO:0042455,ribonucleoside biosynthetic process,10,633,19,15490,8.012950058485057e-10,2.8232294039395685e-7,2.399667675409473e-7,Hprt/Aprt/Nme1/Pnp/Impdh2/Impdh1/Gmps/Guk1/Mtap/Ak1,10,BP,12.879354785066932
