Protein IDs,Majority protein IDs,Peptide counts (all),Peptide counts (razor+unique),Peptide counts (unique),Protein names,Gene names,Fasta headers,Number of proteins,Peptides,Razor + unique peptides,Unique peptides,Peptides HE1,Peptides HE2,Peptides HE3,Peptides HE4,Peptides PE1,Peptides PE2,Peptides PE3,Peptides PE4,Razor + unique peptides HE1,Razor + unique peptides HE2,Razor + unique peptides HE3,Razor + unique peptides HE4,Razor + unique peptides PE1,Razor + unique peptides PE2,Razor + unique peptides PE3,Razor + unique peptides PE4,Unique peptides HE1,Unique peptides HE2,Unique peptides HE3,Unique peptides HE4,Unique peptides PE1,Unique peptides PE2,Unique peptides PE3,Unique peptides PE4,Sequence coverage [%],Unique + razor sequence coverage [%],Unique sequence coverage [%],Mol. weight [kDa],Sequence length,Sequence lengths,Fraction average,Fraction 1,Q-value,Score,Identification type HE1,Identification type HE2,Identification type HE3,Identification type HE4,Identification type PE1,Identification type PE2,Identification type PE3,Identification type PE4,Sequence coverage HE1 [%],Sequence coverage HE2 [%],Sequence coverage HE3 [%],Sequence coverage HE4 [%],Sequence coverage PE1 [%],Sequence coverage PE2 [%],Sequence coverage PE3 [%],Sequence coverage PE4 [%],Intensity,Intensity HE1,Intensity HE2,Intensity HE3,Intensity HE4,Intensity PE1,Intensity PE2,Intensity PE3,Intensity PE4,LFQ intensity HE1,LFQ intensity HE2,LFQ intensity HE3,LFQ intensity HE4,LFQ intensity PE1,LFQ intensity PE2,LFQ intensity PE3,LFQ intensity PE4,MS/MS count HE1,MS/MS count HE2,MS/MS count HE3,MS/MS count HE4,MS/MS count PE1,MS/MS count PE2,MS/MS count PE3,MS/MS count PE4,MS/MS count,Only identified by site,Reverse,Potential contaminant,id,Peptide IDs,Peptide is razor,Mod. peptide IDs,Evidence IDs,MS/MS IDs,Best MS/MS,Oxidation (M) site IDs,Oxidation (M) site positions,Taxonomy IDs
A0A075B6K5;P80748,A0A075B6K5;P80748,2;1,2;1,2;1,Ig lambda chain V-III region LOI,IGLV3-9,sp|A0A075B6K5|LV39_HUMAN Immunoglobulin lambda variable 3-9 OS=Homo sapiens OX=9606 GN=IGLV3-9 PE=3 SV=1;sp|P80748|LV321_HUMAN Immunoglobulin lambda variable 3-21 OS=Homo sapiens OX=9606 GN=IGLV3-21 PE=1 SV=2,2,2,2,2,0,0,2,0,0,1,1,0,0,0,2,0,0,1,1,0,0,0,2,0,0,1,1,0,30.4,30.4,30.4,12.332,115,115;117,1,4,0,81.258,,,By MS/MS,,,By MS/MS,By MS/MS,,0,0,30.4,0,0,13.9,13.9,0,6943800,0,0,2848700,0,0,3020400,1074700,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,1,0,5,,,,0,2947;8346,True;True,3073;8764,18141;18142;18143;53191,13165;13166;13167;38876;38877,13166;38877,,,9606;9606
P01614;A2NJV5;A0A0A0MRZ7;A0A075B6S6;A0A075B6S2;A0A075B6P5;A0A087WW87;P06310;P01615,P01614;A2NJV5;A0A0A0MRZ7;A0A075B6S6;A0A075B6S2;A0A075B6P5;A0A087WW87;P06310;P01615,1;1;1;1;1;1;1;1;1,1;1;1;1;1;1;1;1;1,1;1;1;1;1;1;1;1;1,Ig kappa chain V-II region Cum;Ig kappa chain V-II region RPMI 6410;Ig kappa chain V-II region FR,IGKV A18;IGKV2D-26;IGKV2D-30;IGKV2D-29;IGKV2D-28;IGKV2-40,sp|P01614|KVD40_HUMAN Immunoglobulin kappa variable 2D-40 OS=Homo sapiens OX=9606 GN=IGKV2D-40 PE=1 SV=2;sp|A2NJV5|KV229_HUMAN Immunoglobulin kappa variable 2-29 OS=Homo sapiens OX=9606 GN=IGKV2-29 PE=3 SV=2;sp|A0A0A0MRZ7|KVD26_HUMAN Immunoglobulin kappa v,9,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,10.7,10.7,10.7,13.31,121,121;120;120;120;120;120;121;120;120,1,1,0,42.927,,,By MS/MS,,,,,,0,0,10.7,0,0,0,0,0,12286000,0,0,12286000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,,,,1,2946,TRUE,3072,18140,13164,13164,,,9606;9606;9606;9606;9606;9606;9606;9606;9606
A0A0C4DH68;A0A075B6R9,A0A0C4DH68;A0A075B6R9,1;1,1;1,1;1,,IGKV2-24;IGKV2D-24,sp|A0A0C4DH68|KV224_HUMAN Immunoglobulin kappa variable 2-24 OS=Homo sapiens OX=9606 GN=IGKV2-24 PE=3 SV=1;sp|A0A075B6R9|KVD24_HUMAN Probable non-functional immunoglobulin kappa variable 2D-24 OS=Homo sapiens OX=9606 GN=IGKV2D-24 PE=1 SV=1,2,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,21.7,21.7,21.7,13.079,120,120;120,1,2,0.0021186,7.6345,,,,,,By MS/MS,By matching,,0,0,0,0,0,21.7,21.7,0,2178400,0,0,0,0,0,1346600,831760,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,,,,2,10244,TRUE,10718,64913;64914,47349,47349,,,9606;9606
A0A0A0MRZ8;P04433,A0A0A0MRZ8;P04433,1;1,1;1,1;1,Ig kappa chain V-III region VG,IGKV3D-11,sp|A0A0A0MRZ8|KVD11_HUMAN Immunoglobulin kappa variable 3D-11 OS=Homo sapiens OX=9606 GN=IGKV3D-11 PE=3 SV=6;sp|P04433|KV311_HUMAN Immunoglobulin kappa variable 3-11 OS=Homo sapiens OX=9606 GN=IGKV3-11 PE=1 SV=1,2,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,18.3,18.3,18.3,12.625,115,115;115,1,2,0,29.837,,By MS/MS,,,,,,,0,18.3,0,0,0,0,0,0,4242400,0,4242400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,,,,3,839,TRUE,879,5118;5119,3734;3735;3736,3736,,,9606;9606
A0A0C4DH42;P0DP03;P0DP02;A0A0B4J1X5;P01767;P01772;P01768;P01764,A0A0C4DH42;P0DP03;P0DP02;A0A0B4J1X5;P01767;P01772;P01768;P01764,1;1;1;1;1;1;1;1,1;1;1;1;1;1;1;1,1;1;1;1;1;1;1;1,Ig heavy chain V-III region BUT;Ig heavy chain V-III region KOL;Ig heavy chain V-III region CAM;Ig heavy chain V-III region 23,IGHV3-66;IGHV3-74;IGHV3-23,sp|A0A0C4DH42|HV366_HUMAN Immunoglobulin heavy variable 3-66 OS=Homo sapiens OX=9606 GN=IGHV3-66 PE=3 SV=1;sp|P0DP03|HVC05_HUMAN Immunoglobulin heavy variable 3-30-5 OS=Homo sapiens OX=9606 GN=IGHV3-30-5 PE=3 SV=1;sp|P0DP02|HVC33_HUMAN Immunoglobulin heavy,8,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,9.5,9.5,9.5,12.698,116,116;117;117;117;116;117;117;117,1,1,0,42.152,,,By MS/MS,,,,,,0,0,9.5,0,0,0,0,0,1496100,0,0,1496100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,,,,4,8322,TRUE,8740,53052,38777,38777,,,9606;9606;9606;9606;9606;9606;9606;9606
A0A0B4J2D5;P0DPI2,A0A0B4J2D5;P0DPI2,7;6,7;6,7;6,,,"sp|A0A0B4J2D5|GAL3B_HUMAN Glutamine amidotransferase-like class 1 domain-containing protein 3B, mitochondrial OS=Homo sapiens OX=9606 GN=GATD3B PE=1 SV=1;sp|P0DPI2|GAL3A_HUMAN Glutamine amidotransferase-like class 1 domain-containing protein 3A, mitochondr",2,7,7,7,6,5,5,6,3,4,5,6,6,5,5,6,3,4,5,6,6,5,5,6,3,4,5,6,38.8,38.8,38.8,28.142,268,268;268,1,46,0,77.125,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,34.7,26.1,26.1,35.8,22,31.7,31.7,35.8,77090000,16984000,2659200,7178800,20255000,1960700,12673000,8423100,6956400,2671600,2351900,1620700,4567600,1428500,2758300,1950100,1566100,6,4,4,6,2,4,2,2,30,,,,5,2410;3239;3406;3764;5095;5994;7671,True;True;True;True;True;True;True,2517;3376;3377;3548;3919;5318;6250;7984,14834;14835;14836;14837;14838;14839;14840;14841;19943;19944;19945;19946;19947;19948;19949;19950;19951;19952;19953;19954;21072;21073;21074;21075;21076;21077;21078;21079;21080;21081;23313;23314;23315;23316;23317;32018;32019;32020;32021;32022;32023;37903;48167;48168;48169;48170,10747;10748;10749;10750;10751;14480;14481;14482;14483;14484;14485;14486;14487;15324;15325;15326;15327;15328;15329;15330;15331;15332;15333;16963;16964;16965;23346;23347;23348;23349;23350;27532;35050,10749;14485;15325;16964;23347;27532;35050,0,87,9606;9606
A0A0C4DH73;A0A0C4DH72;P04432;P01611;P01597,A0A0C4DH73;A0A0C4DH72;P04432;P01611;P01597,1;1;1;1;1,1;1;1;1;1,1;1;1;1;1,Ig kappa chain V-I region Daudi;Ig kappa chain V-I region Wes;Ig kappa chain V-I region DEE,IGKV1-12;IGKV1-6,sp|A0A0C4DH73|KV112_HUMAN Immunoglobulin kappa variable 1-12 OS=Homo sapiens OX=9606 GN=IGKV1-12 PE=3 SV=1;sp|A0A0C4DH72|KV106_HUMAN Immunoglobulin kappa variable 1-6 OS=Homo sapiens OX=9606 GN=IGKV1-6 PE=3 SV=1;sp|P04432|KVD39_HUMAN Immunoglobulin kappa v,5,1,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,13.7,13.7,13.7,12.645,117,117;117;117;117;117,1,2,0,46.502,By MS/MS,By MS/MS,,,,,,,13.7,13.7,0,0,0,0,0,0,98515000,97431000,1083600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,,,,6,6859,TRUE,7143,43233;43234,31469;31470,31469,,,9606;9606;9606;9606;9606
A0AVT1,A0AVT1,5,5,5,Ubiquitin-like modifier-activating enzyme 6,UBA6,sp|A0AVT1|UBA6_HUMAN Ubiquitin-like modifier-activating enzyme 6 OS=Homo sapiens OX=9606 GN=UBA6 PE=1 SV=1,1,5,5,5,5,2,1,1,1,1,0,1,5,2,1,1,1,1,0,1,5,2,1,1,1,1,0,1,5,5,5,117.97,1052,1052,1,12,0,47.637,By MS/MS,By matching,By matching,By matching,By matching,By matching,,By MS/MS,5,1.9,1.1,1.1,1.1,1.1,0,1.1,12585000,5045200,811010,1031000,1758100,1293000,942890,0,1703800,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,5,,,,7,6337;6670;7909;8563;12734,True;True;True;True;True,6602;6948;8302;8989;13316,39982;42071;42072;42073;42074;42075;42076;42077;49980;54589;81576;81577,29026;30629;36279;39901;59788,29026;30629;36279;39901;59788,,,9606
A0JLT2,A0JLT2,2,2,2,Mediator of RNA polymerase II transcription subunit 19,MED19,sp|A0JLT2|MED19_HUMAN Mediator of RNA polymerase II transcription subunit 19 OS=Homo sapiens OX=9606 GN=MED19 PE=1 SV=2,1,2,2,2,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,22.1,22.1,22.1,26.273,244,244,1,6,0.00046642,11.855,By MS/MS,,,By MS/MS,By MS/MS,By matching,By matching,By matching,12.3,0,0,12.3,9.8,9.8,9.8,9.8,859600,252500,0,0,229660,84994,119170,94768,78505,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2,,,,8,7415;8465,True;True,7720;8886,46548;46549;46550;46551;53929;53930,33889;39422,33889;39422,,,9606
B9A064;P0DOY3;P0DOY2;P0CG04;P0CF74;A0M8Q6,B9A064;P0DOY3;P0DOY2;P0CG04;P0CF74;A0M8Q6,1;1;1;1;1;1,1;1;1;1;1;1,1;1;1;1;1;1,Immunoglobulin lambda-like polypeptide 5;Ig lambda-1 chain C regions;Ig lambda-6 chain C region;Ig lambda-7 chain C region,IGLL5;IGLC1;IGLC6;IGLC7,sp|B9A064|IGLL5_HUMAN Immunoglobulin lambda-like polypeptide 5 OS=Homo sapiens OX=9606 GN=IGLL5 PE=2 SV=2;sp|P0DOY3|IGLC3_HUMAN Immunoglobulin lambda constant 3 OS=Homo sapiens OX=9606 GN=IGLC3 PE=1 SV=1;sp|P0DOY2|IGLC2_HUMAN Immunoglobulin lambda constant,6,1,1,1,0,0,1,1,0,1,1,1,0,0,1,1,0,1,1,1,0,0,1,1,0,1,1,1,7,7,7,23.063,214,214;106;106;106;106;106,1,6,0,86.734,,,By MS/MS,By MS/MS,,By MS/MS,By MS/MS,By MS/MS,0,0,7,7,0,7,7,7,50148000,0,0,2625400,39722000,0,5086200,1558800,1155000,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,5,,,,9,12263,TRUE,12831,78493;78494;78495;78496;78497;78498,57421;57422;57423;57424;57425,57422,,,9606;9606;9606;9606;9606;9606
