ID,Description,poi_Cat,poi_Qty,bg_Cat,bg_Qty,pvalue,p.adjust,qvalue,geneID,Count,Cat,foldEnrichment
GO:0043161,proteasome-mediated ubiquitin-dependent protein catabolic process,30,187,385,15490,3.144703607930273e-16,8.125914122891826e-13,7.338745156612017e-13,Psmb1/Psmd4/Psmb10/Hsp90ab1/Psmd7/Psma2/Psmc5/Psmc6/Psmd1/Pcbp2/Ecpas/Sgta/Ubqln1/Psmd2/Eif3h/Derl1/Psmd6/Ubqln4/Hspbp1/Psmd8/Psmd12/Usp14/Ubqln2/Psma4/Psmb3/Psmb2/Psma1/Uchl5/Anapc7/Psma5,30,BP,6.454614903812765
GO:0061077,chaperone-mediated protein folding,9,187,52,15490,1.0565844968925741e-8,6.825535849926029e-6,6.16433639371273e-6,Dnajb6/Hsph1/Sgta/St13/Hspa14/Sdf2/Dnajc7/Dnajb1/Ptges3,9,BP,14.33669271904566
GO:0051085,chaperone cofactor-dependent protein refolding,7,187,28,15490,3.191478495061303e-8,1.6493560862476812e-5,1.4895805944317703e-5,Hsph1/St13/Hspa14/Sdf2/Dnajc7/Dnajb1/Ptges3,7,BP,20.70855614973262
GO:0072594,establishment of protein localization to organelle,20,187,398,15490,7.528243212051076e-8,3.242163409989997e-5,2.9280903861609183e-5,Pex5/Kpna6/Hap1/Get3/Hsp90ab1/Srp54a/Ran/Stam/Parl/Kpna1/Hsph1/Trim28/Tnpo1/Sgta/Srp68/Nup88/Hgs/Pmpca/Pex14/Ap3b1,20,BP,4.162523849192486
GO:0043248,proteasome assembly,5,187,14,15490,4.454985240512852e-7,1.1511681861485208e-4,1.0396528713912626e-4,Psmd4/Ecpas/Psmd11/Adrm1/Psmd13,5,BP,29.58365164247517
GO:0090083,regulation of inclusion body assembly,5,187,16,15490,9.530909353931027e-7,2.2388972518688885e-4,2.0220120610205827e-4,Hap1/Dnajb6/Psmc5/Psmc6/Dnajb1,5,BP,25.885695187165773
GO:0016052,carbohydrate catabolic process,10,187,126,15490,2.966651010826856e-6,6.388188509980497e-4,5.769355518423808e-4,Aldoa/Ldha/Gpi1/Pgk1/Gapdh/Tpi1/Mif/Ppp1cb/Nudt5/Galk1,10,BP,6.574144809438927
GO:0019693,ribose phosphate metabolic process,16,187,339,15490,3.6354707424735513e-6,7.226197229655121e-4,6.526185130416084e-4,Aldoa/Gpi1/Aprt/Pgk1/Gapdh/Tpi1/Mif/Atp5e/Ran/G6pdx/Acly/Atic/Prps1/Nudt5/Galk1/Sucla2,16,BP,3.9095799220734153
GO:0046034,ATP metabolic process,13,187,235,15490,5.638752789230133e-6,9.713691471580442e-4,8.772712234191724e-4,Aldoa/Ldha/Gpi1/Pgk1/Gapdh/Tpi1/Mif/Cox6a1/Atp5e/Dnm1l/Ola1/Nudt5/Galk1,13,BP,4.5823188076004095
GO:0070841,inclusion body assembly,5,187,24,15490,8.574325220142779e-6,0.0013847535230530588,0.001250610461385299,Hap1/Dnajb6/Psmc5/Psmc6/Dnajb1,5,BP,17.257130124777184
GO:0006753,nucleoside phosphate metabolic process,17,187,420,15490,1.3686700225011213e-5,0.001964801854523832,0.0017744686782953135,Aldoa/Gpi1/Aprt/Pgk1/Gapdh/Tpi1/Mif/Atp5e/Ran/G6pdx/Acly/Atic/Gars/Prps1/Nudt5/Galk1/Sucla2,17,BP,3.3528138528138527
GO:0005996,monosaccharide metabolic process,12,187,235,15490,2.8867369651775362e-5,0.0031080534658411473,0.002806971864823947,Aldoa/Ldha/Gpi1/Pgk1/Gapdh/Tpi1/Akr1b3/Gfpt1/Ppp1cb/G6pdx/Nudt5/Galk1,12,BP,4.229832745477301
GO:0006091,generation of precursor metabolites and energy,15,187,368,15490,4.127694305368093e-5,0.0038092721732396976,0.003440262509398896,Bnip3/Aldoa/Ldha/Gpi1/Pgk1/Gapdh/Tpi1/Mif/Cox6a1/Gfpt1/Ppp1cb/G6pdx/Galk1/Ptges3/Sucla2,15,BP,3.3763950244129273
GO:0042176,regulation of protein catabolic process,15,187,368,15490,4.127694305368093e-5,0.0038092721732396976,0.003440262509398896,Hsp90ab1/Psmd3/Nsf/Rela/Psmd1/Sgta/Ubqln1/Psmd2/Eif3h/Ubqln4/Hspbp1/Usp14/Ubqln2/Uchl5/Mad2l1,15,BP,3.3763950244129273
GO:0006090,pyruvate metabolic process,8,187,107,15490,4.570270780686687e-5,0.004072268861136,0.0036777823305925183,Aldoa/Ldha/Gpi1/Pgk1/Gapdh/Tpi1/Mif/Galk1,8,BP,6.193213054125644
GO:0006605,protein targeting,12,187,257,15490,6.881762495974958e-5,0.004965392427248829,0.004484387734728147,Pex5/Hap1/Get3/Srp54a/Ywhag/Parl/Sgta/Srp68/Hgs/Pmpca/Pex14/Ap3b1,12,BP,3.8677458956699065
GO:0046939,nucleotide phosphorylation,7,187,94,15490,1.410941213036022e-4,0.008101937987744624,0.007317091624095581,Aldoa/Gpi1/Pgk1/Gapdh/Tpi1/Mif/Galk1,7,BP,6.168506087154397
