ID,Description,poi_Cat,poi_Qty,bg_Cat,bg_Qty,pvalue,p.adjust,qvalue,geneID,Count,Cat,foldEnrichment
GO:0006397,mRNA processing,28,245,418,15490,1.162904173819652e-10,3.4485890370781363e-7,2.9735120348466756e-7,Hnrnph1/Hnrnpa2b1/Ncl/U2af2/Hnrnpa1/Pcbp1/Snrpg/Khsrp/Ddx17/Khdrbs1/Fxr1/Elavl4/Npm1/Pdcd11/Srsf1/Syncrip/Luc7l2/Cstf2/Mbnl2/Tcerg1/Sf3b4/Ppp1r8/Nono/Srsf9/Acin1/Lsm4/Prpf40a/Hnrnpf,28,BP,4.235133287764866
GO:0008380,RNA splicing,25,245,344,15490,2.2437144027834328e-10,3.4485890370781363e-7,2.9735120348466756e-7,Hnrnph1/Hnrnpa2b1/Ncl/U2af2/Hnrnpa1/Snrpg/Khsrp/Ddx17/Khdrbs1/Fxr1/Elavl4/Npm1/Srsf1/Syncrip/Luc7l2/Mbnl2/Tcerg1/Sf3b4/Ppp1r8/Nono/Srsf9/Acin1/Lsm4/Prpf40a/Hnrnpf,25,BP,4.594803037494068
GO:0051258,protein polymerization,18,245,270,15490,3.0334397518451986e-7,1.0360881996857934e-4,8.933568766252878e-5,Mapt/Map1b/Cfl1/Cdkn1b/Capzb/Tubgcp3/Ube2k/Vasp/Cttn/Grb2/Vdac2/Dlg1/Tppp3/Nde1/Ube2c/Tmod3/Dbn1/Add1,18,BP,4.214965986394558
GO:0010608,posttranscriptional regulation of gene expression,22,245,426,15490,1.1756507159932354e-6,3.285409364512005e-4,2.832811964469824e-4,Eif6/Hnrnpa2b1/Trp53/Ncl/Cdk4/Eif5a/Khsrp/Hnrnpd/Khdrbs1/Caprin1/Fxr1/Elavl4/Npm1/Gigyf2/Larp1/Syncrip/Larp4/Cnot2/Hnrnpa0/Tsfm/Sarnp/Prkra,22,BP,3.265114496502826
GO:0006417,regulation of translation,18,245,310,15490,2.2438236284200133e-6,5.405315472103213e-4,4.660680189965377e-4,Eif6/Ncl/Cdk4/Eif5a/Khsrp/Hnrnpd/Khdrbs1/Caprin1/Fxr1/Elavl4/Npm1/Gigyf2/Larp1/Syncrip/Larp4/Cnot2/Tsfm/Sarnp,18,BP,3.671099407504938
GO:0050657,nucleic acid transport,12,245,141,15490,2.46175720915566e-6,5.405315472103213e-4,4.660680189965377e-4,Eif6/Hnrnpa2b1/Mapt/Hnrnpa1/Eif5a/Khsrp/Khdrbs1/Npm1/Zc3h11a/Srsf1/Sarnp/Stau1,12,BP,5.380807642205818
GO:0050658,RNA transport,12,245,141,15490,2.46175720915566e-6,5.405315472103213e-4,4.660680189965377e-4,Eif6/Hnrnpa2b1/Mapt/Hnrnpa1/Eif5a/Khsrp/Khdrbs1/Npm1/Zc3h11a/Srsf1/Sarnp/Stau1,12,BP,5.380807642205818
GO:0051236,establishment of RNA localization,12,245,143,15490,2.8546800698597503e-6,5.850191023165915e-4,5.044269765548667e-4,Eif6/Hnrnpa2b1/Mapt/Hnrnpa1/Eif5a/Khsrp/Khdrbs1/Npm1/Zc3h11a/Srsf1/Sarnp/Stau1,12,BP,5.3055515912658775
GO:0032271,regulation of protein polymerization,14,245,206,15490,5.184574907140635e-6,9.960864540343945e-4,8.588657642223761e-4,Mapt/Map1b/Cfl1/Cdkn1b/Capzb/Vasp/Cttn/Grb2/Vdac2/Dlg1/Tppp3/Tmod3/Dbn1/Add1,14,BP,4.296809986130374
GO:0034248,regulation of cellular amide metabolic process,19,245,365,15490,5.771906111552049e-6,0.0010436964345241764,8.999170024079293e-4,Eif6/Trp53/Ncl/Cdk4/Eif5a/Khsrp/Hnrnpd/Khdrbs1/Caprin1/Fxr1/Elavl4/Npm1/Gigyf2/Larp1/Syncrip/Larp4/Cnot2/Tsfm/Sarnp,19,BP,3.2911378249930108
GO:0033962,P-body assembly,5,245,20,15490,1.2132996973337294e-5,0.0017448829398333968,0.0015045081815226152,Atxn2/Atxn2l/Cnot2/Edc3/Lsm4,5,BP,15.806122448979592
GO:2000377,regulation of reactive oxygen species metabolic process,13,245,197,15490,1.5494090565313852e-5,0.0020134556400446327,0.0017360823551115926,Hk2/Eif6/Trp53/Sod1/Mapt/Gstp1/Eif5a/Khsrp/Grb2/Prdx2/Park7/Ddah1/Mapk9,13,BP,4.17217445353776
GO:0010639,negative regulation of organelle organization,17,245,325,15490,1.701328866857153e-5,0.0020893274976366916,0.0018015021193196552,Trp53/Mapt/Map1b/Cfl1/Map4/Tjp1/Capzb/Trip13/Npm1/Gnl3l/Dync1li1/Zwint/Lima1/Tmod3/Dbn1/Naa10/Add1,17,BP,3.3071271585557303
GO:0043488,regulation of mRNA stability,9,245,94,15490,1.767160538014118e-5,0.0020893274976366916,0.0018015021193196552,Khsrp/Hnrnpd/Fxr1/Elavl4/Npm1/Gigyf2/Larp1/Syncrip/Hnrnpa0,9,BP,6.053408597481546
GO:0006457,protein folding,11,245,147,15490,2.2092308630965878e-5,0.002515250249318115,0.0021687498297377032,Prdx4/Aip/Pfdn2/P4hb/Ppia/Fkbp1a/Ahsa1/Nudcd2/Erp44/Sdf2l1/Stub1,11,BP,4.731084270442871
GO:0031503,protein-containing complex localization,14,245,236,15490,2.4243960970685525e-5,0.0026616405722816898,0.002294973448277675,Eif6/Hnrnpa2b1/Eps15/Eif5a/Npm1/Ppp3r1/Zc3h11a/Scrib/Dlg1/Sarnp/Dbn1/Pcm1/Arl3/Stau1,14,BP,3.750605326876513
GO:0051168,nuclear export,10,245,128,15490,3.61418343451213e-5,0.003157127482662403,0.002722202171470031,Eif6/Hnrnpa2b1/Eif5a/Khdrbs1/Npm1/Zc3h11a/Park7/Ranbp3/Sarnp/Bag3,10,BP,4.939413265306121
GO:0033673,negative regulation of kinase activity,13,245,214,15490,3.704964306682327e-5,0.003157127482662403,0.002722202171470031,Mapt/Prkar1b/Ppia/Gstp1/Wars/Cdkn1b/Irs2/Npm1/Pip4k2b/Cep85/Park7/Prkar1a/Uchl1,13,BP,3.8407400343314895
GO:1901987,regulation of cell cycle phase transition,15,245,278,15490,3.759560595558803e-5,0.003157127482662403,0.002722202171470031,Trp53/Ccnd1/Cdk4/Cdkn1b/Psme1/Trip13/Npm1/Gigyf2/Dlg1/Dync1li1/Ankrd17/Zwint/Ube2c/Aven/Tmod3,15,BP,3.411393334312142
GO:0051348,negative regulation of transferase activity,14,245,246,15490,3.831050506239401e-5,0.003157127482662403,0.002722202171470031,Trp53/Mapt/Prkar1b/Ppia/Gstp1/Wars/Cdkn1b/Irs2/Npm1/Pip4k2b/Cep85/Park7/Prkar1a/Uchl1,14,BP,3.598141695702671
GO:1901990,regulation of mitotic cell cycle phase transition,14,245,246,15490,3.831050506239401e-5,0.003157127482662403,0.002722202171470031,Trp53/Ccnd1/Cdk4/Cdkn1b/Psme1/Trip13/Gigyf2/Dlg1/Dync1li1/Ankrd17/Zwint/Ube2c/Aven/Tmod3,14,BP,3.598141695702671
GO:0010970,transport along microtubule,11,245,156,15490,3.835581194164399e-5,0.003157127482662403,0.002722202171470031,Sod1/Mapt/Map1b/Kif3a/Cdc42/Nde1/Mapk8ip3/Pcm1/Uchl1/Arl3/Stau1,11,BP,4.458137100994244
GO:1902175,regulation of oxidative stress-induced intrinsic apoptotic signaling pathway,5,245,26,15490,4.7636423144556337e-5,0.003259405106508581,0.0028103900483472948,Sod1/P4hb/Ppia/Nono/Park7,5,BP,12.1585557299843
GO:0008631,intrinsic apoptotic signaling pathway in response to oxidative stress,6,245,44,15490,6.283723639422847e-5,0.004109822652677836,0.003543654227114609,Sod1/P4hb/Mapt/Ppia/Nono/Park7,6,BP,8.62152133580705
GO:0006611,protein export from nucleus,9,245,114,15490,8.190117369501505e-5,0.004986747604730366,0.004299774156323344,Eif6/Hnrnpa2b1/Eif5a/Npm1/Zc3h11a/Park7/Ranbp3/Sarnp/Bag3,9,BP,4.99140708915145
GO:0008064,regulation of actin polymerization or depolymerization,11,245,171,15490,8.837595084563542e-5,0.0050308828314719126,0.0043378293222087715,Cfl1/Capzb/Vasp/Cttn/Grb2/Dlg1/Lima1/Tmod3/Dbn1/Add1/Dstn,11,BP,4.067072443012292
GO:0007163,establishment or maintenance of cell polarity,12,245,208,15490,1.2063291014910787e-4,0.0062851790813280945,0.005419333947465721,Map1b/Cfl1/Map4/Kif3a/Crkl/Cdc42/Scrib/Dlg1/Frmd4a/Shtn1/Pard3/Nde1,12,BP,3.6475667189952903
GO:0072593,reactive oxygen species metabolic process,14,245,275,15490,1.2664587408902815e-4,0.006488490282494542,0.0055946370343188225,Hk2/Prdx4/Eif6/Trp53/Sod1/Mapt/Gstp1/Eif5a/Khsrp/Grb2/Prdx2/Park7/Ddah1/Mapk9,14,BP,3.218701298701298
GO:0046785,microtubule polymerization,7,245,74,15490,1.660453755831438e-4,0.007733689159736122,0.00666829753936772,Mapt/Map1b/Cdkn1b/Capzb/Tubgcp3/Tppp3/Nde1,7,BP,5.980694980694981
GO:0016239,positive regulation of macroautophagy,6,245,57,15490,2.7217151773630536e-4,0.011461030760567158,0.009882161235184093,Pafah1b2/Gpsm1/Larp1/Pip4k2b/Hspb8/Bag3,6,BP,6.655209452201933
GO:0034599,cellular response to oxidative stress,13,245,263,15490,2.932118360050091e-4,0.011614253533441084,0.010014276066570096,Trp53/Sod1/P4hb/Mapt/Ppia/Cfl1/Hnrnpd/Prdx2/Pycr2/Nono/Park7/Mapk9/Prkra,13,BP,3.1251648948552804
GO:1901879,regulation of protein depolymerization,7,245,85,15490,3.931634611453195e-4,0.014123254197516576,0.012177637252798253,Map1b/Cfl1/Capzb/Lima1/Tmod3/Add1/Dstn,7,BP,5.20672268907563
GO:0071166,ribonucleoprotein complex localization,6,245,62,15490,4.317449061644051e-4,0.014922069426604208,0.012866407840355237,Eif6/Hnrnpa2b1/Eif5a/Npm1/Zc3h11a/Sarnp,6,BP,6.118499012508229
GO:0010948,negative regulation of cell cycle process,11,245,208,15490,4.8536411255512257e-4,0.01598875028043848,0.013786142932624762,Trp53/Ccnd1/Cdk4/Trip13/Npm1/Gigyf2/Dlg1/Dync1li1/Zwint/Aven/Naa10,11,BP,3.3436028257456827
GO:0022618,ribonucleoprotein complex assembly,9,245,153,15490,7.395842784484932e-4,0.020668018835915163,0.01782079629792637,Eif6/Snrpg/Rps25/Rps28/Srsf1/Luc7l2/Eif4b/Lsm4/Eif4h,9,BP,3.7190876350540223
GO:0071826,ribonucleoprotein complex subunit organization,9,245,159,15490,9.725717173944143e-4,0.025270537694462726,0.021789272990671214,Eif6/Snrpg/Rps25/Rps28/Srsf1/Luc7l2/Eif4b/Lsm4/Eif4h,9,BP,3.5787447054293415
GO:1902414,protein localization to cell junction,8,245,128,15490,9.782673993627405e-4,0.025270537694462726,0.021789272990671214,Mapt/Kif3a/Tjp1/Scrib/Dlg1/Mapk8ip3/Dbn1/Mapk9,8,BP,3.951530612244898
GO:0006413,translational initiation,7,245,100,15490,0.0010440384986650847,0.026523754916499755,0.022869847234786283,Eif6/Khdrbs1/Npm1/Larp1/Eif4b/Eif4h/Eif3g,7,BP,4.425714285714285
