ID,Description,poi_Cat,poi_Qty,bg_Cat,bg_Qty,pvalue,p.adjust,qvalue,geneID,Count,Cat,foldEnrichment
GO:0006401,RNA catabolic process,63,439,412,16854,1.1809614793543357e-30,4.337671513668475e-27,3.761673091080232e-27,PSMD9/PSMD14/PSMA7/SYNCRIP/NPM1/VIM/RPS17/RPL17/RPS12/RPL10/PSMB8/PSMB9/PSMB5/RPL12/FUS/PSMB10/RPL27A/FXR1/HNRNPM/NCBP2/RPS20/RPS8/RPS15A/RPS16/RPS14/RPS23/RPS29/RPS11/LSM6/RPL7A/RPS4X/RPS6/RPL23/RPS25/RPS28/RPL30/RPL11/RPL8/PPP2R2A/RPL38/RPS21/RPL18A/PPP1R8/HNRNPA0/PABPC4/ELAVL1/EDC4/LARP1/GIGYF2/PATL1/SMG6/GSPT2/DCP1B/SERBP1/PSMF1/ISG20/EDC3/TRIR/TNKS1BP1/SLIRP/RPL36/LSM4/RBM8A,63,BP,5.870590707034964
GO:0006413,translational initiation,41,439,191,16854,4.869576509068608e-26,5.961984839269665e-23,5.1702942162953004e-23,DDX3X/DENR/EIF1B/EIF3G/NPM1/RPS17/RPL17/EIF2AK2/EIF4B/RPS12/RPL10/RPL12/RPL27A/EIF1AX/NCBP2/EIF5/RPS20/RPS8/RPS15A/RPS16/RPS14/RPS23/RPS29/RPS11/RPL7A/RPS4X/RPS6/RPL23/RPS25/RPS28/RPL30/RPL11/RPL8/RPL38/RPS21/RPL18A/EIF4H/LARP1/EIF1AD/EIF2B4/RPL36,41,BP,8.241171629953847
GO:0045047,protein targeting to ER,32,439,110,16854,5.4415213592805405e-25,4.9966769881593565e-22,4.333169377153399e-22,GET3/SGTA/RPS17/RPL17/RPS12/RPL10/RPL12/SRP14/RPL27A/SRP9/SEC61B/RPS20/RPS8/RPS15A/RPS16/RPS14/RPS23/RPS29/RPS11/RPL7A/RPS4X/RPS6/RPL23/RPS25/RPS28/RPL30/RPL11/RPL8/RPL38/RPS21/RPL18A/RPL36,32,BP,11.16852350383102
GO:0072599,establishment of protein localization to endoplasmic reticulum,32,439,114,16854,1.8874376427164336e-24,9.903654945282086e-22,8.588550837383353e-22,GET3/SGTA/RPS17/RPL17/RPS12/RPL10/RPL12/SRP14/RPL27A/SRP9/SEC61B/RPS20/RPS8/RPS15A/RPS16/RPS14/RPS23/RPS29/RPS11/RPL7A/RPS4X/RPS6/RPL23/RPS25/RPS28/RPL30/RPL11/RPL8/RPL38/RPS21/RPL18A/RPL36,32,BP,10.776645486152738
GO:0019080,viral gene expression,35,439,197,16854,1.5522299829940486e-19,5.183037025033765e-17,4.494782706736834e-17,DENR/EIF3G/RPS17/GTF2F2/RPL17/RPS12/PTBP1/RPL10/RPL12/NUP62/RPL27A/NUP153/POLR2J/RPS20/RPS8/RPS15A/RPS16/RPS14/RPS23/RPS29/RPS11/RPL7A/RPS4X/RPS6/RPL23/RPS25/RPS28/RPL30/RPL11/RPL8/RPL38/RPS21/RPL18A/PCBP2/RPL36,35,BP,6.82087809164807
GO:0008380,RNA splicing,50,439,444,16854,1.7138004752084098e-18,4.842145496492684e-16,4.199158087433724e-16,PRPF3/NUDT21/DHX16/SYNCRIP/PQBP1/SNRNP70/SNRPA1/GTF2F2/SNRPB/LGALS3/HNRNPA2B1/SFPQ/PTBP1/HNRNPH3/CSTF2/FUS/FXR1/HNRNPM/NCBP2/POLR2J/HNRNPF/SNU13/SNRPG/LSM6/SNRPD2/SRSF3/SRSF1/AHNAK/PPP1R8/HNRNPA0/SRSF9/SRSF5/SRSF6/SF3B2/PCBP1/PCBP2/SF3B4/SF1/ELAVL1/SRSF7/ZNF326/CHERP/PPP1R9B/PPIL3/MBNL1/SRRM2/RTRAF/LUC7L2/LSM4/RBM8A,50,BP,4.323400849596749
GO:0090150,establishment of protein localization to membrane,43,439,346,16854,1.2820956686141581e-17,2.7700808181292957e-15,2.402242410666528e-15,SEC16A/GET3/SGTA/LYPLA1/RPS17/UBL4A/NCF1/RPL17/RPS12/RPL10/RPL12/SRP14/PEX19/RPL27A/SRP9/BID/SEC61B/RPS20/RPS8/RPS15A/RPS16/RPS14/RPS23/RPS29/RPS11/RPL7A/RPS4X/RPS6/RPL23/RPS25/RPS28/RPL30/RPL11/RPL8/PPP3R1/RPL38/RPS21/RPL18A/SCRIB/RFTN1/GRIPAP1/VPS37A/RPL36,43,BP,4.7712352034971754
GO:0022613,ribonucleoprotein complex biogenesis,43,439,429,16854,3.2213358733214105e-14,5.915983331354771e-12,5.130401238247678e-12,DDX3X/PRPF3/DENR/NUDT21/EIF3G/NPM1/RPS17/SNRPB/EIF4B/RPL10/EIF5/SNU13/RPS8/RPS16/RPS14/SNRPG/LSM6/SNRPD2/RPL7A/RPS6/RAN/RPS25/RPS28/RPL11/RPL38/RPS21/SRSF1/SRSF9/SRSF5/SRSF6/EIF4H/SF1/DDX54/ZNF622/ISG20/UTP14A/NIFK/NIP7/MRPS7/LUC7L2/SBDS/NOP16/LSM4,43,BP,3.848129091864855
GO:1903311,regulation of mRNA metabolic process,35,439,335,16854,2.6886818780526584e-12,4.702632637184483e-10,4.0781711092668397e-10,PSMD9/PSMD14/PSMA7/NUDT21/SYNCRIP/NPM1/SNRNP70/VIM/HNRNPA2B1/PTBP1/PSMB8/PSMB9/PSMB5/FUS/PSMB10/FXR1/HNRNPM/NCBP2/SRSF3/HNRNPA0/SRSF9/SRSF6/PABPC4/SAFB2/SF3B4/SF1/ELAVL1/SRSF7/LARP1/GIGYF2/SERBP1/PSMF1/MBNL1/SLTM/RBM8A,35,BP,4.011083534491552
GO:0071826,ribonucleoprotein complex subunit organization,24,439,192,16854,2.0534511251353245e-10,3.428329992100931e-8,2.9730828251959292e-8,PRPF3/DENR/NUDT21/EIF3G/SNRPB/EIF4B/RPL10/EIF5/RPS14/SNRPG/SNRPD2/RPS28/RPL11/RPL38/KLC1/SRSF1/SRSF9/SRSF5/SRSF6/EIF4H/SF1/MRPS7/LUC7L2/LSM4,24,BP,4.798974943052392
