ID,Description,poi_Cat,poi_Qty,bg_Cat,bg_Qty,pvalue,p.adjust,qvalue,geneID,Count,Cat,foldEnrichment
GO:0010498,proteasomal protein catabolic process,26,134,448,15490,1.0023252336680865e-14,1.758078459853824e-11,1.6480336999890016e-11,Ddi2/Psmd4/Psmd14/Psmd7/Rad23a/Rad23b/Psmc5/Psmc6/Ufd1/Psmd1/Sco1/Pcbp2/Ube2j2/Ecpas/Sgta/Nemf/Ubqln1/Psmd2/Eif3h/Psmd6/Ubqln4/Psmd8/Dnajc18/Psmd12/Ubqln2/Psmb3,26,BP,6.708755330490406
GO:0043248,proteasome assembly,6,134,14,15490,1.0624401753351452e-9,6.211733558459482e-7,5.822917732889463e-7,Psmd4/Ecpas/Psmd11/Psmg2/Adrm1/Psmd13,6,BP,49.54157782515991
GO:0042176,regulation of protein catabolic process,13,134,368,15490,1.839041013182114e-5,0.0030908318982263224,0.002897365075334283,Psmd14/Psmd3/Rad23a/Rad23b/Psmd1/Sco1/Sgta/Trim32/Ubqln1/Psmd2/Eif3h/Ubqln4/Ubqln2,13,BP,4.0835902011680725
GO:0006413,translational initiation,7,134,100,15490,2.541047891388897e-5,0.003428460001150866,0.003213859762226281,Eif4a1/Abce1/Eif2b4/Eif4e2/Eif3h/Ythdf2/Eif2b2,7,BP,8.09179104477612
GO:0016032,viral process,11,134,280,15490,3.183145506364523e-5,0.00398802658440241,0.003738400963113823,Psmc3/Nectin2/Rad23a/Pcbp1/Tsg101/Pcbp2/Bcl2l1/Trim32/Trim26/Ppie/Stau1,11,BP,4.541311300639658
GO:0061077,chaperone-mediated protein folding,5,134,52,15490,8.430654301944872e-5,0.0073936838228056525,0.0069308852734936265,Sgta/St13/Dnajc18/Dnajc7/Dnajb1,5,BP,11.115097588978184
GO:1903900,regulation of viral life cycle,7,134,124,15490,1.0064375632732494e-4,0.008024052209005816,0.007521796525515863,Nectin2/Rad23a/Tsg101/Trim32/Trim26/Ppie/Stau1,7,BP,6.525637939335581
GO:0034976,response to endoplasmic reticulum stress,9,134,244,15490,2.7218704020603985e-4,0.015400518339399802,0.014436541826887412,Psmc6/Ufd1/Bcl2l1/Ube2j2/Ecpas/Sgta/Ubqln1/Dnajc18/Ubqln2,9,BP,4.263824321017862
GO:2001021,negative regulation of response to DNA damage stimulus,5,134,71,15490,3.704100194026262e-4,0.019108799236241363,0.017912707439842173,Pcbp4/Bcl2l1/Usp47/Trim32/Ubqln4,5,BP,8.140634853899515
GO:0000502,proteasome complex,23,133,61,15671,8.996965694776792e-33,1.5140536938850696e-30,1.3390034825126803e-30,Psmd4/Psmd14/Psmc3/Psmd3/Psmd7/Rad23a/Rad23b/Psmc4/Psmc1/Psmc5/Psmc6/Psmd1/Ecpas/Psmd11/Ubqln1/Psmd2/Psmd6/Ubqln4/Psmd8/Psmd12/Adrm1/Psmb3/Psmd13,23,CC,44.42659928509799
GO:0005838,proteasome regulatory particle,17,133,21,15671,1.2410276179385816e-32,1.5140536938850696e-30,1.3390034825126803e-30,Psmd4/Psmd14/Psmc3/Psmd3/Psmd7/Psmc4/Psmc1/Psmc5/Psmc6/Psmd1/Psmd11/Psmd2/Psmd6/Psmd8/Psmd12/Adrm1/Psmd13,17,CC,95.38381668456856
GO:0035770,ribonucleoprotein granule,8,133,200,15671,3.0720351001401516e-4,0.010708236634774241,0.00947018339140949,Psmc3/Pcbp1/Gigyf2/Fastkd5/Pum2/Eif4e2/Ythdf2/Stau1,8,CC,4.713082706766917
GO:0043130,ubiquitin binding,8,137,70,15381,1.913734308944008e-7,2.7277608387073243e-5,2.536152817475169e-5,Ddi2/Rad23a/Rad23b/Tax1bp1/Tsg101/Trim32/Adrm1/Tollip,8,MF,12.830865484880082
GO:0070628,proteasome binding,5,137,17,15381,2.9585126456549505e-7,2.7277608387073243e-5,2.536152817475169e-5,Psmd14/Rad23a/Rad23b/Ecpas/Adrm1,5,MF,33.0206097037355
GO:0031593,polyubiquitin modification-dependent protein binding,7,137,51,15381,3.184156621059133e-7,2.7277608387073243e-5,2.536152817475169e-5,Psmd4/Rad23a/Rad23b/Ufd1/Ubqln1/Ubqln4/Ubqln2,7,MF,15.409617861743238
GO:0003743,translation initiation factor activity,5,137,46,15381,5.326272770366978e-5,0.002737704203968627,0.002545397723943798,Eif4a1/Eif2b4/Eif4e2/Eif3h/Eif2b2,5,MF,12.203268803554426
GO:0044389,ubiquitin-like protein ligase binding,10,137,301,15381,3.6448670787858606e-4,0.011709135490599577,0.010886642459005136,Atp6v0c/Prkacb/Stam/Psmd1/Tsg101/Pcbp2/Ube2j2/Eif4e2/Tollip/Syt11,10,MF,3.729902757232582
GO:0045182,translation regulator activity,6,137,118,15381,6.517532427807693e-4,0.01675005833946577,0.015573472222235223,Pcbp1/Eif4a1/Eif2b4/Eif4e2/Eif3h/Eif2b2,6,MF,5.708647779289868
mmu03050,Proteasome,18,76,46,6715,2.3827152780803024e-24,3.4549371532164385e-22,3.2856389624054698e-22,19185/59029/19182/22123/17463/23996/19179/19184/67089/70247/69077/21762/66413/57296/66997/56436/26446/23997,18,KEGG,34.57379862700228
mmu05017,Spinocerebellar ataxia,19,76,135,6715,2.3284649843690975e-16,1.6881371136675957e-14,1.6054153313281674e-14,19185/59029/19182/22123/17463/23996/19179/19184/67089/70247/80913/69077/21762/66413/57296/66997/56436/26446/23997,19,KEGG,12.435185185185187
mmu05012,Parkinson disease,23,76,252,6715,1.7369395512117261e-15,8.395207830856677e-14,7.983827410832846e-14,19185/59029/19182/22123/17463/23996/19179/19184/67089/18749/22145/70247/12048/140499/69077/21762/66413/66091/57296/66997/56436/26446/23997,23,KEGG,8.064170843776106
mmu05014,Amyotrophic lateral sclerosis,25,76,334,6715,8.376684425558698e-15,3.036548104265028e-13,2.887751736179446e-13,19185/59029/19182/22123/17463/23996/19179/19184/67089/22145/70247/12048/69077/56085/21762/66413/94232/66091/57296/66997/18645/56436/54609/26446/23997,25,KEGG,6.613417901040026
mmu05020,Prion disease,21,76,253,6715,2.505232463266674e-13,7.265174143473354e-12,6.909167425009143e-12,19185/59029/19182/22123/17463/23996/19179/19184/67089/18749/22145/70247/69077/21762/66413/66091/57296/66997/56436/26446/23997,21,KEGG,7.333836072394426
mmu05016,Huntington disease,21,76,275,6715,1.2946431801276309e-12,3.128721018641775e-11,2.975408010468766e-11,19185/59029/19182/22123/17463/23996/19179/19184/67089/66491/22145/70247/69077/21762/66413/66091/57296/66997/56436/26446/23997,21,KEGG,6.747129186602871
mmu05169,Epstein-Barr virus infection,17,76,174,6715,4.9570040703513854e-12,1.0268079860013584e-10,9.764925311519272e-11,19185/59029/19182/22123/17463/23996/19179/19184/67089/70247/69077/21762/66413/57296/66997/56436/23997,17,KEGG,8.63241076830006
mmu05022,Pathways of neurodegeneration - multiple diseases,22,76,431,6715,9.773038994697792e-10,1.7713633177889748e-8,1.6845633004018565e-8,19185/59029/19182/22123/17463/23996/19179/19184/67089/22145/70247/12048/140499/69077/21762/66413/66091/57296/66997/56436/26446/23997,22,KEGG,4.51001343265356
mmu05010,Alzheimer disease,20,76,358,6715,1.4213368952769375e-9,2.2899316646128435e-8,2.1777208570909802e-8,19185/59029/19182/22123/17463/23996/19179/19184/67089/22145/70247/69077/21762/66413/66091/57296/66997/56436/26446/23997,20,KEGG,4.936048221111437
mmu04141,Protein processing in endoplasmic reticulum,9,76,158,6715,6.512166454080498e-5,9.442641358416722e-4,8.97993479457416e-4,19358/19359/22230/140499/56085/94232/27054/81489/54609,9,KEGG,5.032894736842105
R-MMU-5607761,Dectin-1 mediated noncanonical NF-kB signaling,18,88,56,8014,1.3128923140451962e-22,1.6279864694160432e-20,1.0641337703313696e-20,19185/59029/19182/22123/17463/23996/19179/19184/67089/70247/69077/22200/21762/66413/57296/66997/26446/23997,18,Reactome,29.271915584415584
