Protein IDs,Majority protein IDs,Peptide counts (all),Peptide counts (razor+unique),Peptide counts (unique),Protein names,Gene names,Fasta headers,Number of proteins,Peptides,Razor + unique peptides,Unique peptides,Peptides PD1,Peptides PD2,Peptides PD3,Peptides PD4,Peptides PE1,Peptides PE2,Peptides PE3,Peptides PE4,Razor + unique peptides PD1,Razor + unique peptides PD2,Razor + unique peptides PD3,Razor + unique peptides PD4,Razor + unique peptides PE1,Razor + unique peptides PE2,Razor + unique peptides PE3,Razor + unique peptides PE4,Unique peptides PD1,Unique peptides PD2,Unique peptides PD3,Unique peptides PD4,Unique peptides PE1,Unique peptides PE2,Unique peptides PE3,Unique peptides PE4,Sequence coverage [%],Unique + razor sequence coverage [%],Unique sequence coverage [%],Mol. weight [kDa],Sequence length,Sequence lengths,Fraction average,Fraction 1,Q-value,Score,Identification type PD1,Identification type PD2,Identification type PD3,Identification type PD4,Identification type PE1,Identification type PE2,Identification type PE3,Identification type PE4,Sequence coverage PD1 [%],Sequence coverage PD2 [%],Sequence coverage PD3 [%],Sequence coverage PD4 [%],Sequence coverage PE1 [%],Sequence coverage PE2 [%],Sequence coverage PE3 [%],Sequence coverage PE4 [%],Intensity,Intensity PD1,Intensity PD2,Intensity PD3,Intensity PD4,Intensity PE1,Intensity PE2,Intensity PE3,Intensity PE4,LFQ intensity PD1,LFQ intensity PD2,LFQ intensity PD3,LFQ intensity PD4,LFQ intensity PE1,LFQ intensity PE2,LFQ intensity PE3,LFQ intensity PE4,MS/MS count PD1,MS/MS count PD2,MS/MS count PD3,MS/MS count PD4,MS/MS count PE1,MS/MS count PE2,MS/MS count PE3,MS/MS count PE4,MS/MS count,Only identified by site,Reverse,Potential contaminant,id,Peptide IDs,Peptide is razor,Mod. peptide IDs,Evidence IDs,MS/MS IDs,Best MS/MS,Oxidation (M) site IDs,Oxidation (M) site positions,Taxonomy IDs
A0A0C4DH68;A0A075B6R9,A0A0C4DH68;A0A075B6R9,1;1,1;1,1;1,,IGKV2-24;IGKV2D-24,sp|A0A0C4DH68|KV224_HUMAN Immunoglobulin kappa variable 2-24 OS=Homo sapiens OX=9606 GN=IGKV2-24 PE=3 SV=1;sp|A0A075B6R9|KVD24_HUMAN Probable non-functional immunoglobulin kappa variable 2D-24 OS=Homo sapiens OX=9606 GN=IGKV2D-24 PE=1 SV=1,2,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,21.7,21.7,21.7,13.079,120,120;120,1,2,0.0013333,7.6276,,,,,,By MS/MS,By matching,,0,0,0,0,0,21.7,21.7,0,2178400,0,0,0,0,0,1346600,831760,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,,,,0,9615,TRUE,10042,55362;55363,39516,39516,,,9606;9606
P0DPI2;A0A0B4J2D5,P0DPI2;A0A0B4J2D5,5;5,5;5,5;5,,,"sp|P0DPI2|GAL3A_HUMAN Glutamine amidotransferase-like class 1 domain-containing protein 3A, mitochondrial OS=Homo sapiens OX=9606 GN=GATD3A PE=1 SV=1;sp|A0A0B4J2D5|GAL3B_HUMAN Glutamine amidotransferase-like class 1 domain-containing protein 3B, mitochondr",2,5,5,5,2,3,2,2,3,4,5,5,2,3,2,2,3,4,5,5,2,3,2,2,3,4,5,5,31.7,31.7,31.7,28.17,268,268;268,1,28,0,46.195,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,13.8,23.5,18.3,13.8,22,31.7,31.7,31.7,31585000,209390,1458700,263000,458940,1960700,12673000,8423100,6138300,0,2698500,3070400,0,2708300,4910800,3364800,2642100,0,2,0,1,2,4,2,2,13,,,,1,2300;3080;3228;3553;4805,True;True;True;True;True,2394;3201;3202;3353;3693;5004,12667;12668;12669;12670;12671;12672;12673;16986;16987;16988;16989;16990;16991;17891;17892;17893;17894;17895;17896;17897;17898;17899;19670;19671;19672;19673;27365;27366,8931;8932;8933;8934;12057;12058;12059;12060;12723;12724;12725;12726;12727;12728;12729;14020;19573,8931;12060;12723;14020;19573,0,87,9606;9606
A0AVT1,A0AVT1,2,2,2,Ubiquitin-like modifier-activating enzyme 6,UBA6,sp|A0AVT1|UBA6_HUMAN Ubiquitin-like modifier-activating enzyme 6 OS=Homo sapiens OX=9606 GN=UBA6 PE=1 SV=1,1,2,2,2,0,2,1,1,1,1,0,1,0,2,1,1,1,1,0,1,0,2,1,1,1,1,0,1,2.1,2.1,2.1,117.97,1052,1052,1,7,0.00050327,11.839,,By MS/MS,By MS/MS,By MS/MS,By matching,By matching,,By MS/MS,0,2.1,1.1,1.1,1.1,1.1,0,1.1,6037800,0,1250300,177730,670110,1293000,942890,0,1703800,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2,,,,2,5947;6270,True;True,6186;6517,34066;35892;35893;35894;35895;35896;35897,24308;25614,24308;25614,,,9606
A0JLT2,A0JLT2,1,1,1,Mediator of RNA polymerase II transcription subunit 19,MED19,sp|A0JLT2|MED19_HUMAN Mediator of RNA polymerase II transcription subunit 19 OS=Homo sapiens OX=9606 GN=MED19 PE=1 SV=2,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,9.8,9.8,9.8,26.273,244,244,1,4,0.0069767,6.1552,,,,,By MS/MS,By matching,By matching,By matching,0,0,0,0,9.8,9.8,9.8,9.8,377440,0,0,0,0,84994,119170,94768,78505,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,,,,3,6948,TRUE,7216,39551;39552;39553;39554,28224,28224,,,9606
B9A064;P0DOY3;P0DOY2;P0CG04;P0CF74;A0M8Q6,B9A064;P0DOY3;P0DOY2;P0CG04;P0CF74;A0M8Q6,1;1;1;1;1;1,1;1;1;1;1;1,1;1;1;1;1;1,Immunoglobulin lambda-like polypeptide 5;Ig lambda-1 chain C regions;Ig lambda-6 chain C region;Ig lambda-7 chain C region,IGLL5;IGLC1;IGLC6;IGLC7,sp|B9A064|IGLL5_HUMAN Immunoglobulin lambda-like polypeptide 5 OS=Homo sapiens OX=9606 GN=IGLL5 PE=2 SV=2;sp|P0DOY3|IGLC3_HUMAN Immunoglobulin lambda constant 3 OS=Homo sapiens OX=9606 GN=IGLC3 PE=1 SV=1;sp|P0DOY2|IGLC2_HUMAN Immunoglobulin lambda constant,6,1,1,1,0,1,0,0,0,1,1,1,0,1,0,0,0,1,1,1,0,1,0,0,0,1,1,1,7,7,7,23.063,214,214;106;106;106;106;106,1,5,0,49.995,,By MS/MS,,,,By MS/MS,By MS/MS,By MS/MS,0,7,0,0,0,7,7,7,9548900,0,1748800,0,0,0,5086200,1558800,1155000,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,4,,,,4,11529,TRUE,12045,66970;66971;66972;66973;66974,48043;48044;48045;48046,48043,,,9606;9606;9606;9606;9606;9606
A1L0T0,A1L0T0,2,2,2,Acetolactate synthase-like protein,ILVBL,sp|A1L0T0|HACL2_HUMAN 2-hydroxyacyl-CoA lyase 2 OS=Homo sapiens OX=9606 GN=ILVBL PE=1 SV=2,1,2,2,2,0,2,0,2,0,1,0,0,0,2,0,2,0,1,0,0,0,2,0,2,0,1,0,0,5.4,5.4,5.4,67.867,632,632,1,5,0.00049628,11.661,,By MS/MS,,By MS/MS,,By matching,,,0,5.4,0,5.4,0,1.7,0,0,731100,0,469480,0,78004,0,183620,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,3,,,,5,3734;7087,True;True,3879;7359,20667;20668;20669;40326;40327,14773;14774;28761,14773;28761,,,9606
A2A288,A2A288,3,3,3,Probable ribonuclease ZC3H12D,ZC3H12D,sp|A2A288|ZC12D_HUMAN Probable ribonuclease ZC3H12D OS=Homo sapiens OX=9606 GN=ZC3H12D PE=1 SV=3,1,3,3,3,1,0,0,0,3,1,3,3,1,0,0,0,3,1,3,3,1,0,0,0,3,1,3,3,8,8,8,58.077,527,527,1,11,0,23.352,By matching,,,,By MS/MS,By MS/MS,By MS/MS,By MS/MS,3,0,0,0,8,3,8,8,4954500,68256,0,0,0,2529500,325190,1183900,847680,0,0,0,0,1276200,0,562790,525960,0,0,0,0,2,0,1,2,5,,,,6,3753;6046;9981,True;True;True,3899;6287;10427,20777;20778;20779;34569;34570;34571;34572;34573;57743;57744;57745,14855;24670;24671;41426;41427,14855;24671;41427,,,9606
A2RUR9;Q8IYA2,A2RUR9;Q8IYA2,1;1,1;1,1;1,Coiled-coil domain-containing protein 144A;Putative coiled-coil domain-containing protein 144C,CCDC144A;CCDC144CP,sp|A2RUR9|C144A_HUMAN Coiled-coil domain-containing protein 144A OS=Homo sapiens OX=9606 GN=CCDC144A PE=2 SV=1;sp|Q8IYA2|C144C_HUMAN Putative coiled-coil domain-containing protein 144C OS=Homo sapiens OX=9606 GN=CCDC144CP PE=5 SV=3,2,1,1,1,1,0,1,1,0,1,0,1,1,0,1,1,0,1,0,1,1,0,1,1,0,1,0,1,1.3,1.3,1.3,165.12,1427,1427;1237,1,5,0.0028237,6.4388,By matching,,By MS/MS,By MS/MS,,By MS/MS,,By MS/MS,1.3,0,1.3,1.3,0,1.3,0,1.3,2721300,142540,0,120400,670960,0,801480,0,985930,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,,,,7,7324,TRUE,7641,41880;41881;41882;41883;41884,29810,29810,1;2,954;958,9606;9606
A3KMH1,A3KMH1,2,2,2,von Willebrand factor A domain-containing protein 8,VWA8,sp|A3KMH1|VWA8_HUMAN von Willebrand factor A domain-containing protein 8 OS=Homo sapiens OX=9606 GN=VWA8 PE=1 SV=2,1,2,2,2,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,1.2,1.2,1.2,214.82,1905,1905,1,2,0.00049505,11.649,,,,,,By MS/MS,,By MS/MS,0,0,0,0,0,0.6,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,,,,8,2056;2745,True;True,2143;2853,11456;15130,8090;10710,8090;10710,,,9606
A4D1P6,A4D1P6,2,2,2,WD repeat-containing protein 91,WDR91,sp|A4D1P6|WDR91_HUMAN WD repeat-containing protein 91 OS=Homo sapiens OX=9606 GN=WDR91 PE=1 SV=2,1,2,2,2,0,1,0,0,0,1,1,2,0,1,0,0,0,1,1,2,0,1,0,0,0,1,1,2,3.1,3.1,3.1,83.343,747,747,1,5,0,13.293,,By MS/MS,,,,By MS/MS,By MS/MS,By MS/MS,0,1.6,0,0,0,1.5,1.5,3.1,156030,0,0,0,0,0,81571,74458,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,2,5,,,,9,6455;9467,True;True,6710;9893,36919;36920;54654;54655;54656,26326;26327;38987;38988;38989,26326;38987,,,9606
